kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_5-488,kl-3_5-BG,kl-3_5-568,kl-3_5-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_13-488,kl-3_13-BG,kl-3_13-568,kl-3_13-BG,kl-3_14-488,kl-3_14-BG,kl-3_14-568,kl-3_14-BG,kl-3_15-488,kl-3_15-BG,kl-3_15-568,kl-3_15-BG
12.152,0.222,61.347,0,18.479,0.222,76.727,0,5.517,0.167,26.585,0.042,4.31,0.167,26.158,0.042,32.502,0.083,69.736,0.014,23.063,0.083,67.456,0,31.785,0.083,78.757,0,9.735,0.056,45.335,0.014,15.917,1.181,58.799,0.014,23.316,1.181,70.072,0.014,14.264,0.514,49.213,0.014,8.394,0.514,38.35,0.014,20.997,2.044,65.336,0.011,20.25,2.044,70.082,0.011,21.558,2.044,84.074,0.011
12.271,0.375,61.374,0,18.978,0.375,77.289,0,5.274,0.125,26.384,0.014,4.244,0.125,25.962,0.014,32.786,0.181,70.122,0.014,23.014,0.069,66.973,0,31.759,0.069,78.707,0,9.66,0.042,44.721,0.014,16.028,1.264,58.698,0.014,23.114,1.264,69.971,0.014,14.175,0.625,49.45,0,8.583,0.625,38.031,0,21.33,2.244,66.158,0.011,20.136,2.244,70.133,0.011,21.19,2.244,83.993,0.011
12.086,0.264,62.102,0.014,18.61,0.264,76.554,0.014,5.362,0.069,26.394,0,4.496,0.069,26.175,0,32.521,0.139,70.16,0.014,23.134,0.125,67.147,0,31.999,0.125,78.871,0,9.636,0.097,44.608,0,15.904,1.319,58.81,0.028,23.093,1.319,69.915,0.028,14.465,0.625,49.521,0.014,8.462,0.625,38.135,0.014,21.274,2.167,65.648,0.033,20.588,2.167,71.277,0.033,21.135,2.167,82.772,0.033
12.269,0.347,61.613,0.014,18.858,0.347,77.031,0.014,5.406,0.139,26.241,0,4.261,0.139,27.155,0,32.634,0.097,70.431,0,22.83,0.083,67.244,0,31.456,0.083,78.924,0,9.951,0.111,45.448,0,16.063,1.139,58.84,0,23.346,1.139,70.214,0,14.039,0.444,49.226,0,8.483,0.444,37.904,0,21.091,2.144,65.299,0,20.447,2.144,70.997,0,21.054,2.144,82.569,0
12.102,0.319,61.202,0,18.91,0.319,77.219,0,5.515,0.181,26.929,0,4.273,0.181,26.413,0,32.509,0.097,70.334,0,22.937,0.069,67.82,0.028,31.511,0.069,78.863,0.028,9.895,0.125,45.393,0,16.016,1.181,58.432,0.014,23.39,1.181,69.926,0.014,14.334,0.556,49.144,0,8.384,0.556,37.844,0,21.11,2.044,65.371,0,20.963,2.044,71.582,0,21.461,2.044,83.169,0
12.071,0.347,60.96,0,18.972,0.347,76.876,0,5.387,0.069,26.176,0.042,4.413,0.069,26.561,0.042,32.554,0.153,70.129,0,22.779,0.111,67.439,0.028,31.196,0.111,79.005,0.028,10.213,0.069,45.491,0,15.854,1.361,58.172,0,23.354,1.361,70.465,0,14.356,0.431,49.253,0.028,8.332,0.431,38.103,0.028,20.991,2.111,64.365,0.011,20.255,2.111,70.383,0.011,21.397,2.111,82.914,0.011
12.379,0.222,60.949,0.014,19.085,0.222,77.184,0.014,5.38,0.056,27.099,0,4.514,0.056,26.053,0,32.141,0.111,70.317,0.028,22.674,0.097,67.181,0.028,31.244,0.097,78.952,0.028,9.884,0.056,45.293,0.014,16.163,1.25,58.781,0,23.297,1.25,69.701,0,14.229,0.486,49.079,0.014,8.418,0.486,38.086,0.014,20.947,1.9,64.269,0.011,20.545,1.9,70.702,0.011,21.429,1.9,82.384,0.011
12.204,0.236,61.705,0.014,19.267,0.236,77.683,0.014,5.387,0.111,26.386,0,4.363,0.111,25.689,0,32.073,0.097,70.013,0,22.801,0.167,67.33,0,31.156,0.167,78.302,0,10.124,0.042,45.096,0,16.088,1.125,58.561,0.042,23.617,1.125,70.071,0.042,14.3,0.389,49.336,0,8.511,0.389,37.799,0,21.028,2.222,65.915,0.056,20.053,2.222,70.356,0.056,21.336,2.222,81.628,0.056
12.19,0.236,61.476,0,19.058,0.236,78.09,0,5.291,0.083,26.044,0,4.401,0.083,26.589,0,32.061,0.153,69.961,0,22.84,0.014,67.26,0.014,30.861,0.014,78.693,0.014,10.165,0.069,45.231,0,15.83,1.139,58.14,0,23.514,1.139,69.84,0,14.332,0.361,49.621,0.028,8.504,0.361,37.352,0.028,20.845,1.922,63.934,0.011,20.516,1.922,71.314,0.011,21.285,1.922,81.77,0.011
12.32,0.347,61.304,0,18.956,0.347,77.771,0,5.489,0.153,26.737,0.014,4.276,0.153,26.093,0.014,32.183,0.069,70.092,0.056,22.607,0.125,66.989,0,30.778,0.125,77.811,0,10.352,0.069,45.276,0,16.104,0.972,58.643,0.014,23.4,0.972,69.95,0.014,14.199,0.403,49.885,0,8.312,0.403,37.369,0,20.732,1.9,64.626,0,20.404,1.9,70.875,0,21.219,1.9,81.248,0
