Inapc_1,iNapc1_BG,Inapc_2,iNapc2_BG,Inapc_3,iNapc3_BG,iNapc4,iNapc4_BG,iNapc5,iNapc5_BG,iNapc6,iNapc6_BG,iNapc7,iNapc7_BG,iNapc8,iNapc8_BG,iNapc9,iNapc9_BG,iNapc10,iNapc10_BG,iNapc11,iNapc11_BG,iNapc12,iNapc12_BG
8.848,0.076,10.512,0.035,9.243,0.035,19.178,0.125,12.456,0.984,7.202,0.109,11.899,0.094,19.257,0.203,9.238,0.125,16.984,0.08,8.37,0.193,6.636,0.955
8.756,0.132,10.234,0.174,9.288,0.174,18.465,0.111,12.221,1.141,7.215,0.109,12.325,0.078,19.412,0.141,9.2,0.109,16.756,0.068,8.172,0.17,6.58,0.932
8.732,0.076,10.177,0.104,9.117,0.104,18.693,0.097,12.161,1.141,7.125,0.078,12.079,0.078,19.455,0.281,9.236,0.094,16.945,0.102,8.137,0.193,6.598,0.864
8.547,0.09,10.057,0.056,9.08,0.056,18.559,0.09,11.812,1,7.161,0.062,12.514,0.047,19.317,0.234,9.204,0.062,16.756,0.159,8.161,0.091,6.528,1.011
8.616,0.09,10.086,0.104,8.89,0.104,18.482,0.125,11.79,1.188,7.336,0.094,12.168,0.031,19.412,0.25,9.226,0.062,16.938,0.114,8.309,0.227,6.567,1.023
8.482,0.118,9.904,0.132,9.049,0.132,18.131,0.069,11.932,0.875,7.218,0.109,12.431,0.094,19.425,0.234,9.307,0.188,16.832,0.136,8.35,0.17,6.579,0.818
8.529,0.083,9.994,0.118,8.87,0.118,18.088,0.09,11.724,1.25,7.111,0.094,11.791,0.078,19.156,0.281,9.169,0.094,16.68,0.17,8.243,0.193,6.496,0.75
8.52,0.062,9.977,0.104,8.909,0.104,18.428,0.104,11.948,1.172,7.326,0.078,10.254,0.062,19.103,0.312,9.138,0.156,16.73,0.159,8.11,0.239,6.509,0.807
8.598,0.118,9.974,0.083,9.008,0.083,18.361,0.069,11.701,0.969,7.216,0.141,11.835,0.094,18.839,0.344,9.089,0.172,16.616,0.148,8.062,0.125,6.472,0.58
8.556,0.083,9.991,0.111,8.902,0.111,18.193,0.09,11.258,1.125,7.151,0.109,12.003,0.156,19.047,0.266,9.179,0.125,16.637,0.08,8.109,0.182,6.439,0.886
8.473,0.076,9.885,0.062,8.753,0.062,17.971,0.056,11.326,1.062,7.276,0.031,11.814,0.094,18.945,0.141,9.06,0.188,16.508,0.102,8.018,0.148,6.353,0.795
8.468,0.09,9.928,0.083,8.773,0.083,18.287,0.09,11.567,1.125,7.303,0.094,12.091,0.094,18.425,0.141,8.966,0.062,16.356,0.17,8,0.136,6.311,0.773
8.43,0.118,9.796,0.076,8.668,0.076,18.432,0.056,11.52,1.234,7.118,0.047,11.748,0.062,18.779,0.281,9.027,0.203,16.494,0.102,8.103,0.284,6.356,0.966
8.225,0.104,9.842,0.118,8.699,0.118,17.992,0.111,11.245,0.812,7.097,0.109,11.538,0.016,18.242,0.297,8.864,0.078,16.147,0.068,7.731,0.159,6.156,0.761
8.318,0.09,9.818,0.118,8.618,0.118,17.988,0.09,10.907,0.922,7.15,0.125,11.534,0.078,18.067,0.172,8.725,0.141,16.133,0.193,7.626,0.159,6.018,0.773
8.214,0.097,9.595,0.069,8.64,0.069,17.91,0.139,11.043,0.797,7.37,0.062,11.143,0.094,17.763,0.25,8.582,0.109,16.099,0.205,7.568,0.068,6.099,0.636
8.181,0.097,9.515,0.097,8.479,0.097,18.207,0.09,11.198,1.031,7.21,0.094,12.115,0.109,17.551,0.219,8.59,0.047,15.958,0.068,7.467,0.125,6.043,0.83
8.114,0.111,9.563,0.111,8.564,0.111,18.23,0.118,11.445,0.953,7.271,0.094,11.441,0.156,17.542,0.328,8.632,0.141,15.909,0.136,7.461,0.159,5.958,0.875
8.135,0.111,9.638,0.132,8.534,0.132,18.242,0.09,11.344,0.953,5.102,0.062,11.541,0.062,17.461,0.078,8.577,0.141,15.969,0.17,7.412,0.216,5.98,0.739
8.079,0.125,9.659,0.215,8.507,0.215,18.064,0.132,10.986,1.172,7.675,0.094,11.505,0.047,17.423,0.297,8.587,0.094,16.066,0.17,7.488,0.148,6.015,0.932
8.103,0.083,9.626,0.104,8.258,0.104,18.4,0.083,11.229,1.125,7.893,0.062,11.234,0.109,17.466,0.312,8.612,0.109,15.949,0.159,7.572,0.159,6.119,0.898
8.051,0.09,9.61,0.076,8.254,0.076,18.695,0.097,11.064,1.094,7.748,0.156,11.558,0.109,17.379,0.25,8.649,0.172,16.111,0.159,7.469,0.159,5.977,0.682
8.033,0.229,9.72,0.076,8.199,0.076,18.668,0.09,11.109,1.188,7.913,0.156,11.507,0.109,17.377,0.141,8.661,0.109,16.021,0.136,7.438,0.136,6.088,0.807
8.045,0.097,9.794,0.139,8.32,0.139,18.709,0.125,11.025,1.266,8.006,0.125,10.858,0.062,17.481,0.172,8.649,0.172,15.979,0.148,7.448,0.216,6.067,0.875
7.977,0.049,9.665,0.104,8.242,0.104,18.531,0.097,11.082,1.109,8.104,0.109,11.084,0.031,17.293,0.297,8.555,0.156,15.868,0.102,7.373,0.193,6.144,0.75
8.023,0.104,9.79,0.062,8.07,0.062,18.775,0.083,10.616,1.203,8.15,0.172,11.413,0.062,17.071,0.391,8.532,0.172,15.842,0.193,7.313,0.17,6.015,0.943
8.016,0.132,9.765,0.09,8.1,0.09,18.826,0.104,10.536,0.906,8.123,0.188,10.887,0.328,16.842,0.438,8.547,0.25,15.711,0.318,7.271,0.42,6.076,0.659
8.059,0.097,9.724,0.132,8.201,0.132,18.836,0.181,10.542,0.953,8.242,0.203,11.279,0.328,16.862,0.516,8.486,0.312,15.643,0.318,7.374,0.523,6.056,0.909
7.916,0.208,9.731,0.208,8.305,0.208,18.701,0.222,9.926,0.906,8.28,0.234,10.955,0.234,16.73,0.5,8.475,0.375,15.793,0.375,7.385,0.409,6.118,0.989
8.044,0.181,9.806,0.194,8.179,0.194,18.926,0.229,9.093,0.938,8.321,0.172,10.357,0.391,16.567,0.484,8.456,0.281,15.734,0.42,7.407,0.534,6.125,0.693
7.974,0.194,9.655,0.16,8.177,0.16,18.891,0.139,7.905,0.984,8.52,0.203,10.898,0.25,16.48,0.484,8.459,0.328,15.741,0.545,7.321,0.341,6.104,0.761
8.035,0.208,9.727,0.215,8.269,0.215,18.76,0.118,7.214,1.078,8.508,0.109,10.738,0.312,16.383,0.547,8.506,0.422,15.635,0.409,7.316,0.398,5.994,1.08
7.911,0.181,9.691,0.201,8.358,0.201,18.52,0.208,6.282,1.141,8.432,0.156,10.654,0.297,15.922,0.484,8.505,0.516,15.701,0.545,7.325,0.591,6.154,0.989
7.921,0.181,9.778,0.16,8.298,0.16,18.35,0.194,5.423,1.047,8.233,0.297,11.065,0.438,16.347,0.391,8.471,0.422,15.847,0.443,7.431,0.557,6.159,0.966
8.018,0.188,9.659,0.243,8.307,0.243,18.424,0.201,4.767,1.125,8.685,0.203,10.764,0.281,16.401,0.562,8.511,0.375,15.716,0.511,7.23,0.443,6.096,0.943
