Inap1__1,iNap1_1_BG,Inap1__2,iNap1_2_BG,Inap1__3,iNap1_3_BG,iNap1_4,iNap1_4_BG,iNap1_5,iNap1_5_BG,iNap1_6,iNap1_6_BG,iNap1_7,iNap1_7_BG,iNap1_8,iNap1_8_BG,iNap1_9,iNap1_9_BG,iNap1_10,iNap1_10_BG,iNap1_11,iNap1_11_BG,iNap1_12,iNap1_12_BG,INap1_13,INap1_13_BG,INap1_14,INap1_14_BG,INap1_15,INap1_15_BG
20.778,0.114,33.206,0.129,23.919,0.062,16.9,0.062,17.65,0.062,12.133,0.042,10.064,0.042,13.497,0.125,13.125,0.083,18.539,0.188,28.564,0.222,42.585,0.222,29.307,0.12,34.229,0.12,10.923,0.122
20.557,0.136,32.698,0.091,23.968,0.062,16.676,0.062,17.855,0.062,12.003,0.062,10.061,0.062,11.523,0.125,13.275,0.167,20.301,0.188,28.453,0.222,42.64,0.222,29.657,0.111,34.045,0.111,11.033,0.163
20.389,0.068,32.675,0.129,23.91,0.125,16.88,0.125,17.554,0.125,11.834,0.021,10.024,0.021,13.525,0.062,13.1,0.208,21.586,0.229,28.28,0.296,34.883,0.296,29.687,0.176,34.146,0.176,11.011,0.082
20.181,0.136,32.314,0.091,23.46,0.083,16.655,0.083,17.611,0.083,11.771,0.042,9.926,0.042,12.546,0.083,13.141,0.125,22.509,0.167,16.045,0.213,31.552,0.213,29.649,0.139,34.301,0.139,11.024,0.122
20.219,0.076,32.018,0.083,23.328,0.062,16.627,0.062,17.373,0.062,11.753,0.021,9.918,0.021,13.63,0.083,12.92,0.146,22.898,0.083,27.257,0.065,43.777,0.065,29.758,0.065,34.291,0.065,10.926,0.122
20.11,0.114,31.702,0.053,23.1,0.062,16.627,0.062,17.264,0.062,11.618,0.083,9.89,0.083,13.599,0.104,12.934,0.229,23.115,0.062,29.361,0.083,44.697,0.083,30.135,0.065,34.453,0.065,10.98,0.02
19.919,0.083,31.532,0.144,22.916,0.042,16.761,0.042,17.174,0.042,11.637,0.146,9.786,0.146,13.678,0.042,12.93,0.125,23.147,0.167,29.911,0.093,44.923,0.093,30.077,0.12,34.404,0.12,11.061,0.102
19.951,0.091,31.371,0.053,22.922,0.104,16.632,0.104,17.335,0.104,11.514,0.083,9.854,0.083,13.528,0.083,13.028,0.125,22.762,0.062,29.592,0.194,45.764,0.194,30.279,0.12,34.362,0.12,11.151,0.143
20.079,0.106,31.233,0.136,22.883,0.062,16.799,0.062,17.394,0.062,11.726,0.062,9.841,0.062,13.611,0.188,12.989,0.125,22.346,0.167,30.359,0.194,45.393,0.194,30.49,0.139,34.511,0.139,10.904,0.102
19.836,0.03,31.257,0.076,22.64,0.104,16.715,0.104,17.572,0.104,11.737,0.042,9.794,0.042,13.715,0.167,12.938,0.146,21.888,0.146,30.687,0.241,45.444,0.241,30.646,0.111,34.497,0.111,10.883,0.102
19.891,0.091,28.723,0.061,22.488,0.062,16.818,0.062,17.4,0.062,11.631,0.062,9.74,0.062,13.839,0.146,13.002,0.104,20.509,0.104,30.911,0.287,46.124,0.287,30.857,0.157,34.599,0.157,10.971,0.061
19.746,0.114,30.646,0.091,22.726,0.083,16.451,0.083,17.302,0.083,11.603,0.062,9.874,0.062,13.719,0.125,12.968,0.104,19.108,0.167,31.485,0.204,45.947,0.204,30.972,0.093,34.24,0.093,10.93,0.163
19.497,0.076,30.473,0.106,22.45,0.083,16.604,0.083,17.408,0.083,11.42,0.104,9.778,0.104,13.909,0.125,12.848,0.271,17.255,0.146,31.68,0.315,46.539,0.315,31.366,0.148,34.456,0.148,10.782,0.184
19.433,0.098,30.367,0.083,22.157,0.104,16.611,0.104,17.263,0.104,11.36,0,9.594,0,13.83,0.042,12.976,0.25,15.735,0.146,32.167,0.222,47.325,0.222,31.327,0.157,34.588,0.157,10.743,0.122
19.355,0.091,30.212,0.076,22.101,0.125,16.279,0.125,17.292,0.125,11.35,0.125,9.676,0.125,13.606,0.083,12.914,0.188,14.875,0.146,32.186,0.241,47.503,0.241,31.227,0.12,34.52,0.12,10.639,0.082
19.27,0.114,28.649,0.091,21.407,0.125,15.327,0.125,16.503,0.125,11,0.104,9.219,0.104,11.282,0.062,12.749,0.125,13.56,0.229,32.205,0.259,47.296,0.259,25.381,0.222,34.894,0.222,8.923,0.122
17.486,0.136,23.497,0.076,19.659,0.104,12.544,0.104,13.474,0.104,9.319,0.104,8.394,0.104,9.463,0.104,12.665,0.083,11.715,0.125,24.867,0.25,44.971,0.25,20.69,0.13,32.107,0.13,7.641,0.102
15.49,0.106,18.164,0.144,17.408,0.062,11.15,0.062,12.012,0.062,8.406,0.083,7.504,0.083,9.26,0.083,11.851,0.167,10.913,0.042,19.965,0.352,33.543,0.352,19.92,0.102,27.746,0.102,7.153,0.061
13.035,0.114,17.171,0.129,15.349,0.146,10.428,0.146,11.576,0.146,8.271,0.167,7.069,0.167,9.139,0.146,10.034,0.229,9.618,0.167,19.303,0.287,30.585,0.287,19.586,0.139,26.795,0.139,6.95,0.122
11.616,0.076,17.063,0.114,14.147,0.146,10.271,0.146,11.459,0.146,8.239,0.083,7.134,0.083,9.166,0.104,9.37,0.208,9.27,0.229,18.723,0.259,29.11,0.259,19.574,0.176,26.573,0.176,6.863,0.082
11.424,0.121,16.789,0.136,13.656,0.062,10.199,0.062,11.033,0.062,8.346,0.125,6.924,0.125,9.273,0.021,9.23,0.125,9.325,0.125,18.661,0.231,28.709,0.231,19.652,0.13,26.218,0.13,6.962,0.184
