6-Pgd_1-488,6-Pgd_1-BG,6-Pgd_1-568,6-Pgd_1-BG,6-Pgd_2-488,6-Pgd_2-BG,6-Pgd_2-568,6-Pgd_2-BG,6-Pgd_3-488,6-Pgd_3-BG,6-Pgd_3-568,6-Pgd_3-BG,6-Pgd_4-488,6-Pgd_4-BG,6-Pgd_4-568,6-Pgd_4-BG,6-Pgd_5-488,6-Pgd_5-BG,6-Pgd_5-568,6-Pgd_5-BG,6-Pgd_6-488,6-Pgd_6-BG,6-Pgd_6-568,6-Pgd_6-BG,6-Pgd_7-488,6-Pgd_7-BG,6-Pgd_7-568,6-Pgd_7-BG,6-Pgd_8-488,6-Pgd_8-BG,6-Pgd_8-568,6-Pgd_8-BG,6-Pgd_9-488,6-Pgd_9-BG,6-Pgd_9-568,6-Pgd_9-BG,6-Pgd_10-488,6-Pgd_10-BG,6-Pgd_10-568,6-Pgd_10-BG,6-Pgd_10-488,6-Pgd_10-BG,6-Pgd_10-568,6-Pgd_10-BG,6-Pgd_11-488,6-Pgd_11-BG,6-Pgd_11-568,6-Pgd_11-BG,6-Pgd_11-488,6-Pgd_11-BG,6-Pgd_11-568,6-Pgd_11-BG,6-Pgd_12-488,6-Pgd_12-BG,6-Pgd_12-568,6-Pgd_12-BG,6-Pgd_13-488,6-Pgd_13-BG,6-Pgd_13-568,6-Pgd_13-BG,6-Pgd_14-488,6-Pgd_14-BG,6-Pgd_14-568,6-Pgd_14-BG,6-Pgd_1-488,6-Pgd_1-BG,6-Pgd_1-568,6-Pgd_1-BG,6-Pgd_2-488,6-Pgd_2-BG,6-Pgd_2-568,6-Pgd_2-BG,6-Pgd_3-488,6-Pgd_3-BG,6-Pgd_3-568,6-Pgd_3-BG,6-Pgd_4-488,6-Pgd_4-BG,6-Pgd_4-568,6-Pgd_4-BG,6-Pgd_5-488,6-Pgd_5-BG,6-Pgd_5-568,6-Pgd_5-BG
25.569,0.283,6.416,0.486,23.261,0.283,8.63,0.486,27.5,0.564,7.448,0.422,34.096,0.614,10.75,0.631,37.22,0.614,7.653,0.631,19.361,0.039,15.5,0.092,7.41,0.022,4.14,0.05,30.56,0.061,16.928,0.203,35.881,2.253,15.113,1.117,26.577,0.119,11.842,0.156,23.091,0.119,11.293,0.156,20.657,0.631,8.505,0.675,20.819,0.631,9.838,0.675,19.231,0.036,9.714,0.178,14.886,0.053,8.171,0.136,21.542,0.019,8.214,0.075,29.86,0.231,8.139,0.385,24.051,0.27,9.323,0.465,16.945,0.24,10.417,0.59,10.563,0.048,6.272,0.082,11.416,0.098,5.235,0.177
25.549,0.339,6.417,0.403,23.326,0.339,8.536,0.403,27.51,0.625,7.501,0.406,34.255,0.65,10.677,0.7,37.386,0.65,7.512,0.7,19.336,0.017,15.302,0.111,7.461,0.033,4.195,0.067,30.655,0.078,16.907,0.183,35.771,2.497,15.046,1.256,26.508,0.083,11.579,0.167,23.356,0.083,11.256,0.167,20.543,0.686,8.526,0.633,20.465,0.686,9.766,0.633,19.029,0.044,9.614,0.183,14.831,0.039,8.113,0.078,21.535,0.028,8.232,0.067,29.795,0.224,7.991,0.347,23.922,0.265,9.164,0.488,16.902,0.19,10.406,0.553,10.72,0.045,6.393,0.07,11.081,0.129,5.029,0.195
25.611,0.297,6.394,0.475,23.475,0.297,8.547,0.475,27.438,0.583,7.373,0.475,34.445,0.617,10.811,0.661,37.22,0.617,7.505,0.661,19.309,0.042,15.176,0.072,7.439,0.022,4.125,0.072,30.335,0.067,16.695,0.161,36.078,2.419,14.843,1.275,26.377,0.067,11.464,0.203,23.353,0.067,11.178,0.203,20.537,0.667,8.508,0.592,20.482,0.667,9.816,0.592,19.029,0.039,9.646,0.156,14.802,0.036,8.07,0.1,21.485,0.017,8.149,0.067,29.833,0.224,7.922,0.338,24.089,0.227,9.148,0.404,16.774,0.197,10.362,0.551,10.273,0.036,6.005,0.088,11.087,0.095,4.973,0.168
25.69,0.242,6.396,0.403,23.689,0.242,8.519,0.403,27.438,0.572,7.328,0.392,34.378,0.617,10.935,0.619,37.424,0.617,7.491,0.619,19.276,0.022,14.976,0.117,7.53,0.014,4.184,0.058,30.364,0.089,16.657,0.183,35.869,2.467,14.783,1.225,26.35,0.047,11.47,0.144,23.178,0.047,11.015,0.144,20.427,0.675,8.445,0.578,20.357,0.675,9.724,0.578,18.912,0.047,9.529,0.153,14.645,0.031,7.981,0.078,21.267,0.019,8.189,0.086,29.459,0.215,7.876,0.401,24.041,0.229,9.066,0.501,16.725,0.206,10.392,0.626,10.233,0.034,6.092,0.075,11.072,0.12,4.944,0.172
25.651,0.283,6.302,0.458,23.751,0.283,8.596,0.458,27.49,0.647,7.266,0.483,34.396,0.631,11.027,0.667,37.309,0.631,7.434,0.667,19.278,0.028,14.881,0.106,7.576,0.036,4.185,0.047,30.255,0.061,16.631,0.197,35.995,2.556,14.773,1.317,26.051,0.081,11.144,0.169,23.208,0.081,11.056,0.169,20.402,0.661,8.538,0.556,20.348,0.661,9.906,0.556,18.906,0.061,9.441,0.206,14.751,0.036,7.888,0.119,21.324,0.011,8.127,0.072,29.638,0.227,7.784,0.338,23.852,0.277,9.041,0.456,16.826,0.236,10.408,0.583,10.39,0.032,6.317,0.138,10.97,0.104,4.923,0.141
25.785,0.244,6.377,0.458,23.65,0.244,8.514,0.458,27.372,0.664,7.191,0.403,34.413,0.633,10.902,0.717,37.402,0.633,7.456,0.717,19.264,0.031,14.765,0.075,7.544,0.033,4.179,0.083,30.294,0.075,16.579,0.189,36.173,2.411,14.677,1.203,25.884,0.053,10.945,0.172,23.193,0.053,10.913,0.172,20.58,0.686,8.53,0.525,20.258,0.686,9.894,0.525,18.812,0.042,9.39,0.186,14.624,0.033,7.791,0.083,21.157,0.036,8.154,0.075,29.678,0.222,7.712,0.32,23.92,0.261,8.951,0.463,16.807,0.222,10.371,0.58,10.443,0.05,6.137,0.075,10.567,0.132,4.726,0.156
25.881,0.253,6.315,0.406,23.567,0.253,8.553,0.406,27.455,0.603,7.143,0.478,34.398,0.653,11.016,0.728,37.25,0.653,7.346,0.728,19.177,0.031,14.633,0.072,7.569,0.036,4.207,0.075,30.349,0.075,16.669,0.197,36.017,2.181,14.51,1.181,26.062,0.075,11.125,0.156,23.444,0.075,10.991,0.156,20.671,0.731,8.664,0.561,20.302,0.731,9.967,0.561,18.711,0.064,9.387,0.211,14.522,0.025,7.762,0.061,21.143,0.019,8.087,0.061,29.86,0.261,7.746,0.374,24.079,0.259,9.019,0.51,16.69,0.224,10.388,0.556,10.222,0.05,5.992,0.073,10.443,0.132,4.701,0.111
25.872,0.294,6.322,0.417,23.578,0.294,8.507,0.417,27.199,0.675,7.107,0.478,34.38,0.644,11.081,0.669,37.266,0.644,7.281,0.669,19.3,0.017,14.542,0.1,7.65,0.039,4.206,0.047,30.308,0.072,16.516,0.192,36.064,2.35,14.55,1.283,25.775,0.094,10.891,0.153,23.316,0.094,10.915,0.153,20.142,0.617,8.548,0.606,20.322,0.617,10.184,0.606,18.52,0.053,9.362,0.192,14.497,0.044,7.647,0.111,20.966,0.033,8.05,0.053,29.895,0.236,7.768,0.299,24.017,0.27,9.046,0.465,16.653,0.17,10.387,0.544,9.973,0.032,5.819,0.095,10.515,0.109,4.745,0.122
25.951,0.275,6.352,0.361,23.434,0.275,8.491,0.361,27.326,0.664,7.057,0.456,34.386,0.689,11.107,0.664,37.24,0.689,7.316,0.664,19.186,0.042,14.517,0.108,7.631,0.042,4.201,0.05,30.222,0.044,16.596,0.172,36.051,2.364,14.394,1.161,26.058,0.067,10.939,0.144,23.03,0.067,10.782,0.144,19.972,0.686,8.541,0.625,20.014,0.686,10.102,0.625,18.329,0.036,9.276,0.164,14.378,0.033,7.621,0.125,20.911,0.039,8.063,0.061,29.92,0.272,7.738,0.349,24.032,0.238,8.949,0.451,16.48,0.184,10.271,0.576,10.15,0.048,5.893,0.075,10.435,0.136,4.697,0.145
25.832,0.244,6.33,0.436,23.583,0.244,8.435,0.436,27.159,0.681,6.991,0.381,34.2,0.703,11.222,0.717,37.107,0.703,7.298,0.717,19.189,0.044,14.465,0.067,7.626,0.014,4.209,0.044,30.166,0.058,16.49,0.178,36.11,2.478,14.443,1.2,25.772,0.1,10.79,0.147,23.548,0.1,10.852,0.147,19.733,0.694,8.58,0.628,19.901,0.694,10.208,0.628,18.307,0.061,9.231,0.183,14.336,0.028,7.532,0.111,20.872,0.022,8.207,0.067,29.743,0.236,7.718,0.347,24.066,0.29,8.953,0.476,16.394,0.202,10.375,0.549,10.211,0.05,5.908,0.1,10.674,0.141,4.73,0.172
