kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_5-488,kl-3_5-BG,ND42_5-568,kl-3_5-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG
19.904,0.044,4.91,0.062,26.33,0.398,10.624,0.413,27.832,0.398,8.755,0.413,32.472,1.236,11.087,0.644,24.378,0.065,9.302,0.167,22.374,0.795,10.056,0.682,25.611,0.302,10.412,0.493,28.881,0.302,17.372,0.493,13.393,0.031,4.584,0.095,16.376,0.031,5.713,0.095,18.235,1.685,4.789,2.967,30.662,0.339,27.196,0.938,21.381,0.136,10.652,0.165,11.714,0.105,7.354,0.125,66.325,0.346,24.118,0.446
19.943,0.042,4.929,0.06,25.931,0.375,10.462,0.453,27.86,0.375,8.713,0.453,32.385,1.267,11.173,0.707,24.147,0.053,9.151,0.135,22.319,0.785,10.014,0.691,25.814,0.242,10.506,0.422,28.886,0.242,17.149,0.422,13.365,0.044,4.576,0.089,16.345,0.044,5.84,0.089,17.764,2,4.683,3.62,30.731,0.341,27.51,0.958,21.257,0.173,10.602,0.186,11.713,0.12,7.222,0.094,65.792,0.381,23.798,0.438
20.086,0.036,4.896,0.064,26.063,0.36,10.434,0.387,27.891,0.36,8.694,0.387,32.431,1.287,11.342,0.642,23.918,0.064,9.064,0.173,22.241,0.905,9.887,0.678,25.76,0.285,10.6,0.46,28.714,0.285,16.963,0.46,13.552,0.031,4.736,0.124,16.25,0.031,5.766,0.124,17.52,1.817,4.662,3.433,30.995,0.33,27.979,0.937,21.004,0.125,10.624,0.168,11.566,0.13,7.06,0.107,65.924,0.355,23.8,0.429
20.005,0.035,4.89,0.065,26.35,0.34,10.384,0.475,27.924,0.34,8.651,0.475,32.177,1.276,11.33,0.635,23.96,0.062,8.922,0.178,22.108,0.8,9.881,0.669,25.321,0.285,10.368,0.475,28.611,0.285,16.784,0.475,13.284,0.024,4.523,0.116,16.155,0.024,5.842,0.116,17.484,1.799,4.743,3.053,31.192,0.308,28.374,0.902,20.679,0.155,10.498,0.13,11.622,0.149,7.179,0.089,66.58,0.354,23.964,0.448
20.037,0.036,4.848,0.071,26.241,0.4,10.396,0.495,27.978,0.4,8.643,0.495,32.316,1.304,11.518,0.685,23.972,0.06,8.814,0.176,22.129,0.824,9.809,0.7,25.301,0.324,10.393,0.46,28.465,0.324,16.588,0.46,13.629,0.027,4.788,0.105,15.885,0.027,5.829,0.105,17.365,1.918,4.79,3.489,31.383,0.371,28.616,0.926,20.575,0.147,10.473,0.174,11.522,0.127,7.17,0.101,65.977,0.362,23.783,0.477
20.046,0.044,4.852,0.047,26.247,0.438,10.386,0.484,28.028,0.438,8.632,0.484,32.411,1.327,11.67,0.718,23.677,0.069,8.744,0.129,22.031,0.771,9.719,0.636,25.172,0.369,10.399,0.456,28.275,0.369,16.371,0.456,13.521,0.024,4.782,0.087,15.963,0.024,5.782,0.087,17.166,1.906,4.807,3.105,31.477,0.386,29.081,0.962,20.054,0.154,10.481,0.146,11.598,0.136,7.202,0.098,66.949,0.365,23.958,0.49
19.986,0.035,4.871,0.067,26.281,0.382,10.312,0.478,28,0.382,8.572,0.478,32.265,1.209,11.805,0.695,23.555,0.058,8.607,0.147,21.896,0.745,9.686,0.605,24.889,0.318,10.389,0.436,28.223,0.318,16.195,0.436,13.525,0.027,4.869,0.115,15.945,0.027,5.608,0.115,17.131,1.991,4.843,3.471,31.67,0.351,29.242,0.973,19.859,0.13,10.353,0.149,11.459,0.105,7.049,0.118,69.133,0.314,24.712,0.438
19.939,0.04,4.821,0.056,25.865,0.34,10.146,0.496,27.896,0.34,8.505,0.496,32.195,1.22,11.976,0.644,23.203,0.064,8.472,0.165,21.684,0.789,9.537,0.733,25.021,0.373,10.329,0.464,28.13,0.373,16.131,0.464,13.642,0.027,4.93,0.122,15.978,0.027,5.765,0.122,17.349,1.933,5.004,3.692,31.647,0.368,29.413,1.085,19.604,0.131,10.307,0.139,11.448,0.165,7.13,0.127,69.299,0.312,24.746,0.442
19.989,0.04,4.815,0.071,25.417,0.429,9.945,0.498,27.842,0.429,8.465,0.498,32.35,1.222,12.155,0.645,23.332,0.055,8.42,0.169,21.781,0.785,9.563,0.696,25.037,0.331,10.411,0.393,28.177,0.331,16.049,0.393,13.751,0.022,5.086,0.138,15.856,0.022,5.79,0.138,17.122,1.973,5.028,3.592,31.863,0.377,29.805,1.038,19.425,0.147,10.228,0.149,11.198,0.192,6.95,0.121,69.069,0.347,24.747,0.421
20.089,0.022,4.876,0.075,25.46,0.395,9.92,0.424,27.985,0.395,8.435,0.424,32.527,1.215,12.333,0.636,23.309,0.078,8.367,0.169,21.761,0.756,9.624,0.656,24.912,0.325,10.465,0.5,28.173,0.325,15.89,0.5,13.857,0.031,5.127,0.107,15.736,0.031,5.762,0.107,16.896,1.947,5.001,3.54,32.014,0.377,30.001,1.085,19.343,0.122,10.286,0.141,11.309,0.12,6.927,0.138,69.755,0.339,24.838,0.403
