G6Pdh_KK_1-405,G6Pdh_KK_1-BG,G6Pdh_KK_1-568,G6Pdh_KK_1-BG,G6Pdh_KK_2-405,G6Pdh_KK_2-BG,G6Pdh_KK-568,G6Pdh_KK-BG,G6Pdh_KK-405,G6Pdh_KK-BG,G6Pdh_KK_3-568,G6Pdh_KK_3-BG,G6Pdh_KK_4-405,G6Pdh_KK_4-BG,G6Pdh_KK_4-568,G6Pdh_KK_4-BG,G6Pdh_KK_5-405,G6Pdh_KK_5-BG,G6Pdh_KK_5-568,G6Pdh_KK_5-BG,G6Pdh_KK_6-405,G6Pdh_KK_6-BG,G6Pdh_KK_6-568,G6Pdh_KK_6-BG,G6Pdh_KK_7-405,G6Pdh_KK_7-BG,G6Pdh_KK_7-568,G6Pdh_KK_7-BG,G6Pdh_KK_8-405,G6Pdh_KK_8-BG,G6Pdh_KK_8-568,G6Pdh_KK_8-BG,G6Pdh_KK_9-405,G6Pdh_KK_9-BG,G6Pdh_KK_9-568,G6Pdh_KK_9-BG,G6Pdh_KK_10-405,G6Pdh_KK_10-BG,G6Pdh_KK_10-568,G6Pdh_KK_10-BG,G6Pdh_KK_11-405,G6Pdh_KK_11-BG,G6Pdh_KK_11-568,G6Pdh_KK_11-BG,G6Pdh_KK_12-405,G6Pdh_KK_12-BG,G6Pdh_KK_12-568,G6Pdh_KK_12-BG,G6Pdh_KK_13-405,G6Pdh_KK_13-BG,G6Pdh_KK_13-568,G6Pdh_KK_13-BG,G6Pdh_KK_11-405,G6Pdh_KK_14-BG,G6Pdh_KK_14-568,G6Pdh_KK_14-BG,G6Pdh_KK_12-405,G6Pdh_KK_15-BG,G6Pdh_KK_15-568,G6Pdh_KK_15-BG,G6Pdh_KK_16-405,G6Pdh_KK_16-BG,G6Pdh_KK_16-568,G6Pdh_KK_16-BG,G6Pdh_KK_17-405,G6Pdh_KK_17-BG,G6Pdh_KK_17-568,G6Pdh_KK_17-BG
36.641,0.245,64.226,0,33.956,0.102,57.391,0,26.21,0.204,107.04,0,17.115,0.469,66.223,0.061,18.238,0.469,73.213,0.061,33.579,0.143,121.274,0.036,34.772,0.232,151.526,0.018,40.116,0.232,145.277,0.018,15.048,0.1,47.508,0,5.099,0,12.966,0,7.911,0,14.781,0,25.655,0.133,49.205,0,20.752,0.133,56.474,0,18.155,0.067,68.737,0.033,15.108,0.067,53.013,0.033,70.222,0.1,131.489,0,63.576,0.1,120.017,0
36.271,0.122,63.764,0,33.252,0.184,56.652,0,25.958,0.429,106.901,0,17.093,0.592,65.981,0.02,18.08,0.592,72.055,0.02,32.841,0.25,120.576,0.018,36.589,0.196,155.997,0.054,39.783,0.196,146.519,0.054,15.262,0.333,47.671,0,5.098,0,13.075,0,7.917,0,14.992,0,25.415,0.067,49.644,0,20.104,0.067,54.976,0,17.89,0.2,68.111,0,15.134,0.2,51.853,0,70.903,0.133,132.306,0,63.934,0.133,120.801,0
35.651,0.163,63.293,0.041,32.683,0.163,56.137,0,25.918,0.265,106.677,0.02,17.075,0.367,66.508,0.02,18.141,0.367,72.558,0.02,33.012,0.304,121.979,0.054,35.701,0.25,154.68,0.036,39.565,0.25,145.046,0.036,15.176,0.167,47.49,0,5.197,0,12.838,0.033,7.871,0,14.876,0.033,25.299,0.1,49.389,0,19.832,0.1,54.335,0,17.851,0.067,67.941,0,14.71,0.067,51.639,0,70.435,0,131.389,0,64.402,0,121.187,0
35.17,0.204,62.959,0,32.47,0.204,56.384,0,26.082,0.245,106.743,0,17.08,0.49,66.001,0.02,17.649,0.49,71.155,0.02,32.412,0.196,121.07,0.018,35.818,0.179,155.833,0.089,39.646,0.179,145.2,0.089,15.23,0.133,47.547,0,5.216,0.018,13.201,0.033,7.922,0.018,15.158,0.033,24.914,0.167,48.763,0.033,19.025,0.167,53.49,0.033,17.503,0.067,67.024,0,14.394,0.067,50.443,0,70.131,0.033,130.644,0.033,64.106,0.033,120.593,0.033
35.246,0.204,63.612,0,32.518,0.102,56.565,0,25.737,0.286,105.983,0,17.092,0.449,67.093,0.041,17.454,0.449,71.322,0.041,32.615,0.107,121.606,0.036,35.636,0.268,155.764,0.054,39.589,0.268,145.084,0.054,15.401,0.267,47.845,0,5.184,0.018,13.196,0,7.983,0.018,15.505,0,24.821,0.067,48.79,0,19.347,0.067,53.265,0,17.747,0,67.294,0,14.534,0,50.528,0,70.104,0.167,130.888,0,62.828,0.167,119.311,0
35.076,0.163,63.544,0,32.164,0.143,56.204,0,25.518,0.306,105.817,0,16.783,0.571,66.804,0.02,17.181,0.571,71.626,0.02,32.092,0.214,119.492,0.036,35.157,0.143,155.572,0.107,39.321,0.143,145.005,0.107,15.527,0.233,47.95,0,5.297,0.018,13.453,0.067,8.076,0.018,15.493,0.067,24.777,0.133,49.078,0,19.214,0.133,53.548,0,17.424,0.167,66.872,0,14.547,0.167,50.024,0,69.681,0.167,130.486,0,63.21,0.167,120.243,0
34.441,0.061,63.516,0,31.775,0.204,55.943,0,25.364,0.265,105.728,0.02,17.098,0.449,67.265,0.041,17.209,0.449,71.896,0.041,31.708,0.179,118.743,0.018,34.955,0.161,155.166,0.089,38.498,0.161,143.856,0.089,15.438,0.067,47.985,0,5.355,0,13.386,0.1,8.024,0,15.637,0.1,24.704,0.067,48.899,0,18.566,0.067,51.78,0,17.385,0.1,66.579,0,14.208,0.1,48.955,0,69.019,0.267,129.614,0,62.558,0.267,119.754,0
34.512,0.122,63.429,0,31.721,0.082,56.315,0,25.484,0.204,106.036,0.041,16.954,0.551,67.519,0.02,16.837,0.551,70.387,0.02,31.403,0.161,119.116,0.018,34.873,0.232,156.149,0.054,38.423,0.232,144.99,0.054,15.411,0.233,47.721,0,5.121,0,13.028,0,7.751,0,15.148,0,24.193,0.1,48.712,0,18.106,0.1,50.903,0,17.204,0,65.447,0.067,13.892,0,47.806,0.067,68.602,0.1,129.268,0,62.3,0.1,119.037,0
34.699,0.163,63.843,0,31.702,0.143,56.313,0.02,25.432,0.224,107.529,0,16.613,0.388,66.965,0.041,16.465,0.388,69.307,0.041,31.686,0.339,119.821,0.018,34.138,0.143,155.551,0.089,38.849,0.143,145.098,0.089,15.58,0.167,47.688,0,5.388,0,13.407,0.033,7.953,0,15.585,0.033,24.385,0.233,48.504,0.033,18.14,0.233,51.471,0.033,17.352,0.133,65.539,0,13.773,0.133,47.939,0,68.753,0.067,130.245,0.033,62.443,0.067,119.299,0.033
34.585,0.163,64.285,0,31.396,0.122,56.248,0,25.571,0.51,107.475,0.02,16.76,0.612,66.765,0.02,16.324,0.612,70.073,0.02,31.342,0.232,119.561,0.071,34.358,0.196,155.5,0.054,38.68,0.196,145.583,0.054,15.764,0.267,47.876,0,5.367,0,13.637,0.033,7.939,0,15.766,0.033,24.482,0.1,48.289,0.033,18.14,0.1,51.758,0.033,17.541,0.167,65.976,0,13.877,0.167,47.946,0,69.267,0.133,130.91,0,62.27,0.133,120.72,0
