HyPer_1,HyPer1_BG,HyPer_2,HyPer2_BG,HyPer_3,HyPer3_BG,HyPer4,HyPer4_BG,HyPer5,HyPer5_BG,HyPer6,HyPer6_BG,HyPer7,HyPer7_BG,HyPer8,HyPer8_BG,HyPer9,HyPer9_BG,HyPer10,HyPer10_BG,HyPer11,HyPer11_BG,HyPer12,HyPer12_BG,HyPer13,HyPer13_BG,HyPer14,HyPer14_BG,HyPer15,HyPer15_BG,HyPer16,HyPer16_BG,HyPer17,HyPer17_BG,HyPer18,HyPer18_BG
6.774,0.515,5.503,1.084,3.855,0.435,10.899,0.968,11.045,0.917,11.35,0.718,7.225,0.358,16.059,0.258,10.323,0.289,8.569,0.329,7.265,0.329,5.056,0.176,9.818,1.111,9.822,1.111,15.529,0.688,11.955,0.561,17.451,0.561,16.538,0.242
6.763,0.522,5.461,1.123,3.86,0.442,10.809,0.982,10.983,0.894,11.466,0.76,7.206,0.318,16.077,0.316,10.391,0.266,8.518,0.319,7.078,0.319,4.999,0.171,9.893,1.113,9.752,1.113,15.372,0.762,11.671,0.709,17.44,0.709,16.366,0.236
6.759,0.493,5.491,1.07,3.857,0.396,10.75,0.997,11.004,0.843,11.264,0.739,7.152,0.318,16.087,0.305,10.345,0.296,8.475,0.338,7.045,0.338,5.019,0.169,9.774,1.176,9.751,1.176,15.144,0.771,11.674,0.63,17.464,0.63,16.282,0.244
6.74,0.411,5.451,1.105,3.843,0.437,10.768,1.079,10.82,0.78,11.183,0.744,7.123,0.416,15.931,0.303,10.342,0.329,8.303,0.345,6.889,0.345,4.946,0.148,9.756,1.134,9.653,1.134,15.007,0.802,11.58,0.57,17.338,0.57,16.124,0.271
6.713,0.419,5.46,1.103,3.854,0.409,10.722,1.108,10.835,0.866,11.132,0.755,7.055,0.337,15.856,0.282,10.321,0.28,8.286,0.352,6.841,0.352,4.961,0.218,9.707,1.134,9.648,1.134,14.749,0.705,11.308,0.522,17.277,0.522,15.841,0.244
6.716,0.423,5.453,1.162,3.855,0.4,10.762,1.008,10.9,0.878,11.16,0.727,7.026,0.4,15.595,0.308,10.066,0.324,8.158,0.34,6.886,0.34,4.94,0.141,9.798,1.188,9.692,1.188,14.475,0.669,11.308,0.554,17.135,0.554,15.688,0.233
6.743,0.413,5.462,1.096,3.861,0.431,10.813,1.118,10.797,0.848,11.012,0.762,6.941,0.363,15.466,0.3,10.042,0.306,8.158,0.333,6.81,0.333,4.921,0.164,9.727,1.229,9.657,1.229,14.322,0.705,11.21,0.606,17.02,0.606,15.486,0.273
6.71,0.357,5.461,1.138,3.838,0.417,10.84,1.161,10.674,0.762,10.936,0.668,6.977,0.35,15.292,0.245,9.957,0.34,8.13,0.296,6.864,0.296,4.981,0.157,9.958,1.194,9.729,1.194,14.237,0.826,11.055,0.615,17.004,0.615,15.476,0.227
6.693,0.425,5.452,1.119,3.821,0.458,10.748,1.111,10.769,0.84,11,0.697,6.826,0.303,15.107,0.253,9.82,0.294,7.993,0.331,6.931,0.331,5.062,0.174,10.259,1.171,9.794,1.171,14.053,0.715,11.019,0.615,16.965,0.615,15.506,0.25
6.711,0.376,5.413,1.113,3.799,0.429,10.894,1.084,10.822,0.873,10.9,0.774,6.865,0.363,15.019,0.279,9.674,0.282,8.03,0.282,7.034,0.282,5.076,0.194,10.248,1.16,9.856,1.16,13.915,0.655,10.987,0.596,16.964,0.596,15.335,0.287
