Pgd_1-488,Pgd_1-BG,Pgd_1-568,Pgd_1-BG,Pgd_2-488,Pgd_2-BG,Pgd_2-568,Pgd_2-BG,Pgd_3-488,Pgd_3-BG,Pgd_3-568,Pgd_3-BG,Pgd_4-488,Pgd_4-BG,Pgd_4-568,Pgd_4-BG,Pgd_5-488,Pgd_5-BG,Pgd_5-568,Pgd_5-BG,Pgd_6-488,Pgd_6-BG,Pgd_6-568,Pgd_6-BG,Pgd_7-488,Pgd_7-BG,Pgd_7-568,Pgd_7-BG,Pgd_8-488,Pgd_8-BG,Pgd_8-568,Pgd_8-BG,Pgd_9-488,Pgd_9-BG,Pgd_9-568,Pgd_9-BG,Pgd_10-488,Pgd_10-BG,Pgd_10-568,Pgd_10-BG,Pgd_11-488,Pgd_11-BG,Pgd_11-568,Pgd_11-BG,Pgd_12-488,Pgd_12-BG,Pgd_12-568,Pgd_12-BG,Pgd_13-488,Pgd_13-BG,Pgd_13-568,Pgd_13-BG,Pgd_14-488,Pgd_14-BG,Pgd_14-568,Pgd_14-BG,Pgd_15-488,Pgd_15-BG,Pgd_15-568,Pgd_15-BG,Pgd_16-488,Pgd_16-BG,Pgd_16-568,Pgd_16-BG,Pgd_17-488,Pgd_17-BG,Pgd_17-568,Pgd_17-BG
15.224,0.115,29.954,0.005,29.429,0.159,53.586,0.038,53.508,0.048,39.674,0.005,51.394,0.087,45.046,0.029,56.627,0.087,43.228,0.029,35.804,0.918,83.886,0.123,77.046,0.918,97.733,0.123,77.95,0.918,84.749,0.123,21.988,0.015,29.567,0,28.822,0.056,41.616,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.021,0.062,29.999,0.005,29.73,0.101,53.504,0.024,53.285,0.058,39.28,0,51.972,0.082,45.07,0.01,56.782,0.082,43.036,0.01,36.542,1.031,83.288,0.092,78.062,1.031,97.427,0.092,78.843,1.031,83.635,0.092,21.821,0.026,29.131,0.01,28.452,0.036,41.03,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.892,0.062,30.189,0.024,29.998,0.13,53.486,0.024,53.038,0.029,39.105,0.014,52.485,0.077,44.998,0.01,56.577,0.077,42.749,0.01,37.581,1.021,83.578,0.138,79.677,1.021,97.604,0.138,80.036,1.021,83.965,0.138,21.38,0.005,28.588,0.031,27.994,0.113,40.29,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.514,0.067,29.851,0.019,30.341,0.048,53.477,0.034,53.116,0.029,38.898,0,52.946,0.038,44.825,0.019,56.44,0.038,42.398,0.019,38.847,0.928,83.858,0.174,81.278,0.928,97.757,0.174,81.296,0.928,84.07,0.174,20.897,0.015,27.956,0.01,27.595,0.051,39.728,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.23,0.053,29.765,0.014,30.994,0.13,53.616,0.019,53.285,0.087,38.985,0.019,53.461,0.087,44.919,0.024,56.166,0.087,41.982,0.024,40.165,1.005,84.011,0.118,82.971,1.005,97.858,0.118,82.862,1.005,84.722,0.118,20.794,0.026,27.715,0.005,27.369,0.082,39.325,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.167,0.058,29.949,0.01,31.417,0.12,53.83,0.029,53.279,0.024,39.141,0,54.098,0.058,44.807,0.038,56.106,0.058,41.858,0.038,41.418,1.062,84.468,0.103,84.822,1.062,97.91,0.103,84.03,1.062,84.596,0.103,20.343,0,27.165,0.01,27.036,0.103,38.555,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.946,0.038,29.819,0.01,31.982,0.106,53.752,0.01,54.018,0.038,39.444,0,54.377,0.096,44.715,0.014,56.442,0.096,41.742,0.014,42.025,0.969,83.522,0.154,85.492,0.969,97.535,0.154,84.51,0.969,83.833,0.154,20.303,0.031,26.992,0.015,26.874,0.103,38.299,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.789,0.043,29.481,0.005,32.379,0.087,53.817,0.029,53.914,0.034,39.039,0.01,54.917,0.087,44.675,0.01,56.396,0.087,41.805,0.01,42.923,0.928,82.938,0.138,86.485,0.928,97.556,0.138,84.786,0.928,82.732,0.138,22.402,0.021,29.491,0.026,26.372,0.056,37.618,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.537,0.034,29.305,0.019,32.995,0.115,53.808,0.019,53.791,0.043,39.034,0.014,55.471,0.087,44.607,0.024,56.791,0.087,41.878,0.024,44.197,0.872,82.844,0.169,88.433,0.872,97.267,0.169,85.949,0.872,82.302,0.169,22,0.01,29.128,0.005,26.154,0.041,37.157,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.515,0.043,29.277,0.024,33.477,0.053,54.189,0.038,54.096,0.029,39.293,0.014,55.9,0.091,44.862,0.029,56.569,0.091,41.534,0.029,45.128,1,82.225,0.154,89.413,1,97.169,0.154,86.429,1,81.958,0.154,22.077,0.031,28.979,0.005,25.935,0.072,36.95,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
