G6Pdh_1-488,G6Pdh_1-BG,G6Pdh_1-568,G6Pdh_1-BG,G6Pdh_2-488,G6Pdh_2-BG,G6Pdh_2-568,G6Pdh_2-BG,G6Pdh_3-488,G6Pdh_3-BG,G6Pdh_3-568,G6Pdh_3-BG,G6Pdh_4-488,G6Pdh_4-BG,G6Pdh_4-568,G6Pdh_4-BG,G6Pdh_5-488,G6Pdh_5-BG,G6Pdh_5-568,G6Pdh_5-BG,G6Pdh_6-488,G6Pdh_6-BG,G6Pdh_6-568,G6Pdh_6-BG,G6Pdh_7-488,G6Pdh_7-BG,G6Pdh_7-568,G6Pdh_7-BG,G6Pdh_8-488,G6Pdh_8-BG,G6Pdh_8-568,G6Pdh_8-BG,G6Pdh_9-488,G6Pdh_9-BG,G6Pdh_9-568,G6Pdh_9-BG,G6Pdh_10-488,G6Pdh_10-BG,G6Pdh_10-568,G6Pdh_10-BG,G6Pdh_1-488,G6Pdh_1-BG,G6Pdh_1-568,G6Pdh_1-BG,G6Pdh_2-488,G6Pdh_2-BG,G6Pdh_2-568,G6Pdh_2-BG,G6Pdh_3-488,G6Pdh_3-BG,G6Pdh_3-568,G6Pdh_3-BG,G6Pdh_4-488,G6Pdh_4-BG,G6Pdh_4-568,G6Pdh_4-BG,G6Pdh_5-488,G6Pdh_5-BG,G6Pdh_5-568,G6Pdh_5-BG
17.245,0.082,8.428,0.193,19.102,0.082,7.158,0.193,14.635,0.32,9.734,0.359,9.526,0.589,6.186,0.882,10.782,0.589,8.77,0.882,26.42,0.148,19.699,0.227,40.233,0.148,28.743,0.227,12.087,0.043,12.331,0.109,9.09,0.043,11.357,0.109,8.727,0.041,11.512,0.125,14.766,0.188,19.054,0.341,20.121,0.188,26.188,0.341,9.773,0.07,10.638,0.119,9.972,0.07,8.139,0.119,20.935,0.157,21.011,0.292
17.414,0.055,8.501,0.202,19.286,0.055,7.218,0.202,14.665,0.343,9.686,0.382,9.355,0.62,6.073,0.936,10.69,0.62,8.808,0.936,26.006,0.13,19.512,0.211,40.367,0.13,28.635,0.211,12.095,0.039,12.155,0.073,9.084,0.039,11.199,0.073,8.645,0.052,11.178,0.109,14.633,0.196,17.984,0.307,20.07,0.196,25.173,0.307,9.448,0.055,10.358,0.104,9.811,0.055,8.057,0.104,20.827,0.145,20.894,0.302
17.594,0.066,8.493,0.184,19.388,0.066,7.232,0.184,14.558,0.357,9.681,0.389,9.301,0.643,6.06,0.959,10.804,0.643,8.868,0.959,26.44,0.13,19.826,0.243,40.541,0.13,28.947,0.243,11.975,0.039,11.928,0.082,8.91,0.039,10.976,0.082,8.597,0.05,11.006,0.102,14.644,0.215,17.395,0.319,20.211,0.215,24.502,0.319,9.596,0.068,10.526,0.099,10.001,0.068,8.052,0.099,21.074,0.145,21.079,0.277
17.637,0.066,8.544,0.205,19.434,0.066,7.274,0.205,14.644,0.352,9.698,0.384,9.32,0.595,6.02,0.93,10.857,0.595,8.879,0.93,26.288,0.15,19.813,0.223,40.729,0.15,28.852,0.223,11.946,0.034,11.79,0.084,8.911,0.034,10.884,0.084,8.469,0.052,10.82,0.093,14.471,0.209,17.004,0.299,20.082,0.209,23.944,0.299,9.67,0.065,10.448,0.135,9.93,0.065,8.059,0.135,20.907,0.151,21.058,0.273
17.593,0.061,8.526,0.227,19.486,0.061,7.283,0.227,14.539,0.307,9.643,0.366,9.352,0.625,6.05,0.973,10.845,0.625,8.886,0.973,26.503,0.143,20.056,0.243,40.864,0.143,28.944,0.243,11.892,0.041,11.683,0.102,8.922,0.041,10.811,0.102,8.531,0.059,10.729,0.114,14.457,0.204,16.642,0.277,20.011,0.204,23.458,0.277,9.551,0.049,10.352,0.123,9.952,0.049,7.957,0.123,21.075,0.132,21.229,0.255
17.506,0.048,8.489,0.227,19.355,0.048,7.25,0.227,14.598,0.341,9.569,0.384,9.18,0.566,6.012,0.943,10.811,0.566,8.909,0.943,26.462,0.114,20.088,0.23,40.81,0.114,29.207,0.23,11.887,0.034,11.501,0.07,8.951,0.034,10.76,0.07,8.544,0.041,10.638,0.102,14.445,0.222,16.499,0.258,20.025,0.222,23.126,0.258,9.522,0.065,10.177,0.119,9.806,0.065,7.928,0.119,21.015,0.132,21.021,0.264
17.414,0.064,8.535,0.205,19.304,0.064,7.198,0.205,14.482,0.332,9.559,0.368,9.052,0.605,5.931,0.927,10.76,0.605,8.858,0.927,26.489,0.143,20.272,0.202,41.509,0.143,29.926,0.202,11.898,0.03,11.462,0.077,8.914,0.03,10.531,0.077,8.397,0.05,10.452,0.102,14.408,0.21,16.265,0.283,19.904,0.21,22.914,0.283,9.408,0.065,10.219,0.121,9.945,0.065,7.98,0.121,20.842,0.123,20.999,0.209
17.516,0.066,8.423,0.207,19.343,0.066,7.182,0.207,14.528,0.28,9.607,0.402,8.993,0.552,5.938,0.902,10.776,0.552,8.958,0.902,26.123,0.127,20.158,0.207,40.676,0.127,29.368,0.207,11.953,0.027,11.384,0.1,8.843,0.027,10.583,0.1,8.275,0.055,10.315,0.093,14.453,0.187,16.155,0.284,19.866,0.187,22.654,0.284,9.333,0.058,10.159,0.095,9.855,0.058,7.928,0.095,20.751,0.121,20.923,0.252
17.542,0.075,8.486,0.218,19.385,0.075,7.196,0.218,14.477,0.368,9.616,0.386,9.14,0.58,5.88,0.918,10.745,0.58,8.95,0.918,25.167,0.102,19.725,0.25,40.584,0.102,29.484,0.25,11.908,0.052,11.331,0.075,8.763,0.052,10.552,0.075,8.296,0.052,10.262,0.125,14.373,0.17,15.964,0.31,19.906,0.17,22.404,0.31,9.373,0.058,10.206,0.092,9.787,0.058,7.942,0.092,20.139,0.148,20.288,0.249
17.306,0.075,8.364,0.248,19.078,0.075,7.112,0.248,14.579,0.345,9.647,0.343,9.127,0.561,5.956,0.916,10.816,0.561,9.015,0.916,26.489,0.1,20.633,0.22,40.33,0.1,29.621,0.22,11.827,0.043,11.192,0.086,8.785,0.043,10.42,0.086,8.257,0.059,10.244,0.123,14.289,0.193,15.771,0.276,19.836,0.193,22.07,0.276,9.527,0.061,10.23,0.123,9.872,0.061,7.97,0.123,19.949,0.175,20.162,0.283
17.27,0.041,8.316,0.214,19.228,0.041,7.095,0.214,14.633,0.302,9.61,0.334,9.091,0.548,5.973,0.952,10.789,0.548,8.995,0.952,25.135,0.095,20.002,0.241,40.529,0.095,29.727,0.241,11.663,0.036,11.001,0.105,8.701,0.036,10.357,0.105,8.268,0.045,10.045,0.139,14.15,0.199,15.534,0.259,19.745,0.199,21.804,0.259,9.492,0.059,10.255,0.099,9.873,0.059,7.945,0.099,19.176,0.169,19.508,0.316
17.388,0.07,8.286,0.182,19.093,0.07,7.073,0.182,14.572,0.314,9.614,0.402,9.011,0.661,5.861,0.968,10.775,0.661,9.021,0.968,25.501,0.086,20.21,0.18,40.449,0.086,29.865,0.18,11.584,0.039,10.841,0.123,8.582,0.039,10.133,0.123,8.127,0.059,9.967,0.114,14.205,0.204,15.405,0.35,19.755,0.204,21.765,0.35,9.451,0.047,10.184,0.086,9.919,0.047,7.912,0.086,19.392,0.117,19.7,0.314
17.283,0.034,8.317,0.173,18.838,0.034,6.976,0.173,14.443,0.318,9.572,0.357,8.899,0.607,5.838,1.011,10.746,0.607,9.039,1.011,25.217,0.132,20.197,0.209,40.581,0.132,29.884,0.209,11.467,0.023,10.717,0.098,8.589,0.023,10.149,0.098,8.141,0.055,10.005,0.105,13.912,0.216,15.124,0.305,19.509,0.216,21.425,0.305,9.191,0.077,10.073,0.084,9.733,0.077,7.86,0.084,19.351,0.15,19.725,0.28
17.321,0.073,8.323,0.191,18.961,0.073,7.001,0.191,14.509,0.295,9.622,0.395,8.871,0.6,5.85,0.925,10.781,0.6,9.054,0.925,24.666,0.136,19.921,0.236,40.229,0.136,29.748,0.236,11.472,0.039,10.599,0.095,8.467,0.039,10.045,0.095,8.082,0.034,9.866,0.107,13.918,0.181,14.899,0.292,19.428,0.181,21.062,0.292,9.279,0.052,10.094,0.114,9.917,0.052,7.946,0.114,19.75,0.181,20.072,0.267
17.369,0.08,8.212,0.259,19.033,0.08,7.026,0.259,14.528,0.289,9.6,0.32,8.857,0.58,5.807,0.907,10.747,0.58,9.065,0.907,24.725,0.102,19.904,0.236,40.25,0.102,30.056,0.236,11.454,0.041,10.593,0.093,8.509,0.041,9.91,0.093,7.972,0.027,9.86,0.111,13.954,0.17,14.843,0.267,19.441,0.17,20.945,0.267,9.359,0.049,10.044,0.126,9.817,0.049,7.888,0.126,19.798,0.15,19.997,0.25
17.502,0.061,8.263,0.218,19.1,0.061,7.07,0.218,14.492,0.32,9.525,0.361,8.93,0.589,5.866,1.009,10.743,0.589,9.012,1.009,24.813,0.109,20.103,0.207,39.961,0.109,29.8,0.207,11.226,0.03,10.44,0.12,8.375,0.03,9.769,0.12,8.019,0.052,9.855,0.139,13.781,0.188,14.581,0.28,19.367,0.188,20.695,0.28,9.304,0.055,10.016,0.119,9.863,0.055,7.832,0.119,19.277,0.133,19.605,0.283
17.458,0.045,8.423,0.218,19.244,0.045,7.088,0.218,14.477,0.307,9.587,0.345,8.919,0.62,5.839,0.977,10.673,0.62,9.059,0.977,24.823,0.118,20.16,0.22,40.164,0.118,29.606,0.22,11.212,0.034,10.342,0.086,8.318,0.034,9.768,0.086,7.84,0.059,9.707,0.102,13.809,0.231,14.574,0.296,19.291,0.231,20.583,0.296,9.236,0.055,10.079,0.121,9.89,0.055,7.858,0.121,19.693,0.156,20.027,0.27
17.494,0.041,8.334,0.218,19.005,0.041,7.068,0.218,14.609,0.311,9.594,0.384,8.979,0.589,5.902,0.964,10.624,0.589,9.036,0.964,24.841,0.125,20.376,0.22,39.819,0.125,29.782,0.22,11.175,0.025,10.265,0.118,8.315,0.025,9.657,0.118,7.753,0.068,9.631,0.089,13.838,0.193,14.485,0.264,19.347,0.193,20.446,0.264,9.249,0.052,10.003,0.102,9.848,0.052,7.865,0.102,19.664,0.133,19.78,0.273
17.387,0.075,8.362,0.227,18.8,0.075,7.033,0.227,14.606,0.359,9.602,0.361,8.961,0.559,5.865,1.057,10.729,0.559,9.002,1.057,24.414,0.093,20.014,0.22,39.781,0.093,29.847,0.22,11.024,0.036,9.983,0.075,8.174,0.036,9.608,0.075,7.712,0.052,9.539,0.127,13.756,0.212,14.404,0.296,19.365,0.212,20.268,0.296,9.171,0.053,10.017,0.086,9.845,0.053,7.89,0.086,19,0.148,19.413,0.286
17.174,0.061,8.313,0.218,18.698,0.061,7.003,0.218,14.573,0.32,9.615,0.309,8.948,0.559,5.895,1.02,10.704,0.559,9.089,1.02,24.287,0.116,19.884,0.232,39.824,0.116,29.887,0.232,11.083,0.036,9.929,0.068,8.205,0.036,9.487,0.068,7.764,0.039,9.595,0.107,13.661,0.194,14.357,0.244,19.204,0.194,20.225,0.244,9.303,0.055,10.024,0.117,9.822,0.055,7.907,0.117,18.925,0.133,19.169,0.264
17.174,0.064,8.238,0.214,18.583,0.064,6.928,0.214,14.599,0.302,9.61,0.348,8.749,0.657,5.79,0.959,10.592,0.657,9.056,0.959,23.535,0.127,19.448,0.248,39.605,0.127,29.956,0.248,11.02,0.039,9.859,0.109,8.163,0.039,9.439,0.109,7.667,0.05,9.537,0.13,13.545,0.161,14.126,0.27,19.111,0.161,20.035,0.27,9.133,0.077,9.968,0.12,9.787,0.077,7.919,0.12,19.256,0.157,19.483,0.313
17.086,0.045,8.228,0.232,18.45,0.045,6.916,0.232,14.475,0.293,9.547,0.355,8.891,0.559,5.829,0.877,10.71,0.559,9.11,0.877,23.922,0.118,19.813,0.198,39.668,0.118,30.088,0.198,10.827,0.036,9.848,0.1,8.16,0.036,9.383,0.1,7.56,0.041,9.357,0.123,13.521,0.185,14.05,0.281,19,0.185,19.744,0.281,9.237,0.061,9.927,0.108,9.843,0.061,7.909,0.108,19.045,0.141,19.494,0.27
17.03,0.068,8.23,0.211,18.483,0.068,6.93,0.211,14.57,0.323,9.575,0.373,8.781,0.559,5.806,1,10.648,0.559,9.097,1,23.228,0.1,19.454,0.209,39.29,0.1,29.641,0.209,10.714,0.034,9.629,0.08,7.964,0.034,9.167,0.08,7.533,0.055,9.304,0.084,13.457,0.173,13.893,0.255,18.993,0.173,19.685,0.255,9.112,0.074,9.859,0.113,9.764,0.074,7.907,0.113,19.498,0.164,19.832,0.279
17.257,0.036,8.269,0.177,18.631,0.036,6.937,0.177,14.616,0.314,9.652,0.373,8.938,0.6,5.86,0.961,10.624,0.6,9.04,0.961,23.027,0.114,19.229,0.195,38.961,0.114,29.69,0.195,10.599,0.036,9.465,0.105,7.915,0.036,9.071,0.105,7.408,0.057,9.265,0.134,13.292,0.17,13.774,0.262,18.811,0.17,19.479,0.262,9.002,0.046,9.844,0.117,9.744,0.046,7.853,0.117,19.93,0.129,20.261,0.24
17.218,0.059,8.342,0.214,18.763,0.059,6.929,0.214,14.639,0.305,9.589,0.395,8.953,0.602,5.861,1.002,10.663,0.602,8.988,1.002,23.603,0.1,19.713,0.227,39.464,0.1,30.038,0.227,10.638,0.034,9.469,0.102,7.758,0.034,9.045,0.102,7.331,0.045,9.162,0.1,13.15,0.228,13.598,0.256,18.685,0.228,19.327,0.256,9.016,0.056,9.813,0.13,9.814,0.056,7.861,0.13,19.949,0.148,20.105,0.262
17.235,0.073,8.255,0.218,18.737,0.073,6.957,0.218,14.564,0.318,9.699,0.368,8.941,0.616,5.779,0.975,10.654,0.616,9.132,0.975,22.563,0.118,19.083,0.202,39.2,0.118,29.625,0.202,10.557,0.039,9.347,0.084,7.794,0.039,8.988,0.084,7.412,0.041,9.188,0.107,13.181,0.222,13.552,0.283,18.677,0.222,19.113,0.283,8.875,0.058,9.591,0.117,9.611,0.058,7.788,0.117,19.72,0.151,19.981,0.283
17.211,0.077,8.32,0.195,18.628,0.077,6.933,0.195,14.609,0.27,9.62,0.4,8.919,0.552,5.83,1.05,10.601,0.552,9.027,1.05,24.104,0.091,20.096,0.218,39.413,0.091,30.015,0.218,10.507,0.025,9.35,0.095,7.801,0.025,8.971,0.095,7.436,0.043,9.227,0.08,13.195,0.197,13.623,0.243,18.678,0.197,19.208,0.243,8.977,0.055,9.701,0.095,9.709,0.055,7.818,0.095,20.45,0.153,20.598,0.281
17.162,0.057,8.388,0.191,18.637,0.057,6.942,0.191,14.66,0.33,9.637,0.386,8.918,0.65,5.768,0.886,10.642,0.65,9.073,0.886,23.01,0.114,19.312,0.184,39.324,0.114,29.907,0.184,10.421,0.036,9.164,0.093,7.717,0.036,8.809,0.093,7.399,0.045,9.283,0.116,12.995,0.154,13.329,0.247,18.429,0.154,18.921,0.247,8.964,0.061,9.74,0.096,9.813,0.061,7.852,0.096,19.68,0.159,19.926,0.265
17.361,0.059,8.416,0.209,18.751,0.059,6.972,0.209,14.574,0.348,9.687,0.357,8.944,0.591,5.842,0.9,10.591,0.591,9.021,0.9,22.731,0.089,19.105,0.211,39.272,0.089,29.77,0.211,10.28,0.014,9.138,0.093,7.611,0.014,8.731,0.093,7.309,0.052,9.101,0.089,12.922,0.172,13.273,0.281,18.45,0.172,18.788,0.281,8.874,0.064,9.619,0.12,9.657,0.064,7.719,0.12,19.385,0.151,19.755,0.283
17.327,0.073,8.44,0.214,18.764,0.073,6.96,0.214,14.702,0.291,9.733,0.402,8.913,0.564,5.911,0.959,10.638,0.564,9.031,0.959,23.986,0.107,19.909,0.211,39.736,0.107,30.424,0.211,10.225,0.02,9.025,0.102,7.529,0.02,8.697,0.102,7.163,0.061,8.943,0.127,12.764,0.164,13.142,0.29,18.28,0.164,18.681,0.29,8.788,0.062,9.526,0.113,9.74,0.062,7.814,0.113,19.612,0.145,20.046,0.276
17.363,0.045,8.345,0.166,18.662,0.045,7.021,0.166,14.667,0.298,9.694,0.37,8.858,0.661,5.844,0.936,10.566,0.661,9.007,0.936,23.059,0.134,19.459,0.22,39.081,0.134,29.851,0.22,10.127,0.034,8.919,0.1,7.532,0.034,8.475,0.1,7.192,0.05,8.955,0.132,12.8,0.17,13.179,0.259,18.247,0.17,18.525,0.259,8.89,0.053,9.69,0.126,9.727,0.053,7.783,0.126,19.593,0.159,20.079,0.289
17.279,0.068,8.438,0.227,18.575,0.068,6.965,0.227,14.64,0.293,9.704,0.334,8.94,0.586,5.766,0.925,10.634,0.586,9.08,0.925,22.519,0.1,19.119,0.243,38.958,0.1,29.966,0.243,10.005,0.043,8.843,0.098,7.343,0.043,8.487,0.098,7.107,0.041,8.89,0.107,12.572,0.176,12.989,0.24,18.111,0.176,18.434,0.24,8.719,0.044,9.535,0.12,9.679,0.044,7.762,0.12,19.243,0.172,19.75,0.305
17.139,0.07,8.355,0.191,18.534,0.07,6.928,0.191,14.7,0.289,9.684,0.364,8.85,0.607,5.836,0.939,10.542,0.607,9.03,0.939,23.642,0.093,19.993,0.218,39.118,0.093,30.247,0.218,9.941,0.041,8.799,0.086,7.397,0.041,8.387,0.086,7.131,0.05,8.888,0.139,12.687,0.151,13.037,0.283,18.159,0.151,18.442,0.283,8.777,0.055,9.551,0.117,9.706,0.055,7.8,0.117,19.736,0.159,19.972,0.264
17.211,0.061,8.422,0.236,18.414,0.061,6.974,0.236,14.622,0.35,9.645,0.37,8.777,0.636,5.795,0.927,10.502,0.636,9.105,0.927,22.533,0.091,19.118,0.214,39.549,0.091,30.272,0.214,9.925,0.039,8.738,0.109,7.377,0.039,8.343,0.109,7.097,0.052,8.844,0.111,12.645,0.209,13.07,0.252,18.053,0.209,18.394,0.252,8.862,0.052,9.641,0.108,9.667,0.052,7.839,0.108,19.104,0.151,19.514,0.29
17.031,0.073,8.383,0.218,18.49,0.073,6.869,0.218,14.761,0.277,9.71,0.393,8.879,0.675,5.854,1,10.534,0.675,9.099,1,22.197,0.109,18.958,0.236,39.019,0.109,30.32,0.236,9.997,0.032,8.657,0.123,7.257,0.032,8.334,0.123,6.994,0.059,8.847,0.118,12.553,0.166,12.831,0.243,17.92,0.166,18.183,0.243,8.859,0.046,9.575,0.127,9.637,0.046,7.805,0.127,19.145,0.138,19.418,0.265
16.896,0.064,8.386,0.198,18.185,0.064,6.796,0.198,14.704,0.298,9.769,0.402,8.947,0.657,5.929,0.92,10.534,0.657,8.989,0.92,23.075,0.111,19.558,0.214,39.336,0.111,30.22,0.214,9.925,0.05,8.656,0.089,7.268,0.05,8.265,0.089,6.988,0.043,8.798,0.118,12.348,0.181,12.813,0.284,17.806,0.181,18.128,0.284,8.761,0.05,9.578,0.092,9.566,0.05,7.78,0.092,20.27,0.132,20.489,0.281
16.663,0.075,8.285,0.182,17.865,0.075,6.738,0.182,14.843,0.311,9.809,0.345,8.963,0.675,5.915,0.934,10.598,0.675,9.039,0.934,22.282,0.098,19.04,0.252,39.247,0.098,30.07,0.252,9.778,0.025,8.522,0.127,7.115,0.025,8.136,0.127,6.923,0.05,8.746,0.136,12.335,0.157,12.782,0.261,17.702,0.157,18.046,0.261,8.633,0.067,9.454,0.113,9.604,0.067,7.83,0.113,19.788,0.147,19.94,0.244
16.794,0.041,8.284,0.227,18.041,0.041,6.824,0.227,14.757,0.327,9.809,0.411,8.839,0.582,5.86,0.995,10.452,0.582,9.038,0.995,22.467,0.1,19.137,0.22,39.728,0.1,30.827,0.22,9.635,0.027,8.527,0.091,7.074,0.027,8.079,0.091,6.813,0.045,8.575,0.105,12.256,0.161,12.689,0.273,17.704,0.161,17.965,0.273,8.721,0.061,9.572,0.135,9.659,0.061,7.852,0.135,19.105,0.141,19.511,0.241
16.876,0.055,8.354,0.198,18.295,0.055,6.89,0.198,14.559,0.275,9.645,0.398,8.813,0.627,5.849,0.934,10.53,0.627,9.055,0.934,23.109,0.107,19.721,0.245,39.547,0.107,30.83,0.245,9.586,0.045,8.373,0.1,7.018,0.045,8.086,0.1,6.759,0.052,8.578,0.125,12.145,0.206,12.633,0.283,17.559,0.206,17.936,0.283,8.799,0.061,9.616,0.129,9.605,0.061,7.947,0.129,18.657,0.147,19.178,0.301
16.859,0.045,8.373,0.218,18.173,0.045,6.86,0.218,14.58,0.311,9.72,0.368,8.864,0.602,5.804,0.993,10.499,0.602,8.982,0.993,22.191,0.107,19.082,0.2,38.98,0.107,30.554,0.2,9.629,0.027,8.39,0.077,6.997,0.027,8.06,0.077,6.83,0.05,8.552,0.114,11.984,0.15,12.453,0.267,17.384,0.15,17.814,0.267,8.626,0.044,9.422,0.089,9.437,0.044,7.828,0.089,19.651,0.124,20.011,0.261
16.683,0.07,8.373,0.216,18.072,0.07,6.872,0.216,14.72,0.35,9.762,0.407,8.877,0.602,5.895,0.859,10.454,0.602,8.989,0.859,23.157,0.107,19.622,0.209,39.658,0.107,30.867,0.209,9.437,0.045,8.305,0.098,6.972,0.045,7.923,0.098,6.824,0.045,8.521,0.109,11.861,0.184,12.432,0.249,17.152,0.184,17.538,0.249,8.698,0.058,9.618,0.12,9.591,0.058,7.888,0.12,20.185,0.148,20.535,0.265
16.484,0.066,8.306,0.193,17.726,0.066,6.71,0.193,14.699,0.289,9.752,0.386,8.808,0.641,5.788,0.92,10.359,0.641,9.011,0.92,21.774,0.109,18.779,0.268,39.158,0.109,30.567,0.268,9.429,0.032,8.225,0.089,6.869,0.032,7.908,0.089,6.814,0.039,8.497,0.132,11.734,0.185,12.258,0.284,17.108,0.185,17.587,0.284,8.769,0.062,9.465,0.114,9.569,0.062,7.919,0.114,21.957,0.12,21.821,0.236
16.227,0.05,8.194,0.193,17.554,0.05,6.681,0.193,14.713,0.307,9.718,0.343,8.796,0.6,5.85,0.97,10.364,0.6,8.982,0.97,21.56,0.164,18.677,0.195,38.908,0.164,30.647,0.195,9.395,0.025,8.08,0.114,6.765,0.025,7.923,0.114,6.752,0.048,8.491,0.102,11.153,0.157,11.892,0.284,16.634,0.157,17.112,0.284,8.543,0.065,9.392,0.11,9.49,0.065,7.871,0.11,21.761,0.092,21.784,0.191
16.274,0.066,8.219,0.216,17.584,0.066,6.663,0.216,14.521,0.282,9.699,0.311,8.753,0.634,5.804,0.989,10.468,0.634,9.018,0.989,21.311,0.123,18.523,0.193,38.482,0.123,30.588,0.193,9.297,0.036,8.082,0.107,6.872,0.036,7.838,0.107,6.665,0.05,8.363,0.125,10.987,0.173,11.756,0.234,16.374,0.173,17.092,0.234,8.642,0.067,9.514,0.12,9.526,0.067,7.857,0.12,21.447,0.13,21.793,0.227
16.365,0.068,8.208,0.252,17.664,0.068,6.749,0.252,14.81,0.282,9.756,0.4,8.829,0.689,5.859,1,10.407,0.689,9.023,1,21.242,0.098,18.462,0.243,38.641,0.098,30.455,0.243,9.204,0.045,8.098,0.107,6.68,0.045,7.683,0.107,6.554,0.064,8.316,0.095,10.843,0.181,11.597,0.27,16.192,0.181,16.964,0.27,8.588,0.071,9.413,0.107,9.38,0.071,7.785,0.107,21.525,0.107,21.75,0.231
16.258,0.059,8.266,0.184,17.816,0.059,6.75,0.184,14.831,0.307,9.793,0.357,8.822,0.648,5.867,0.907,10.437,0.648,9.011,0.907,21.808,0.098,19.01,0.211,39.32,0.098,31.088,0.211,9.24,0.018,8.07,0.095,6.672,0.018,7.751,0.095,6.552,0.048,8.244,0.111,10.447,0.175,11.374,0.289,15.902,0.175,16.806,0.289,8.49,0.077,9.486,0.126,9.404,0.077,7.862,0.126,21.747,0.086,21.811,0.264
16.297,0.041,8.224,0.195,17.853,0.041,6.736,0.195,14.701,0.302,9.81,0.38,8.819,0.568,5.847,0.92,10.407,0.568,8.977,0.92,21.313,0.102,18.518,0.232,39.027,0.102,30.702,0.232,9.042,0.025,7.975,0.12,6.638,0.025,7.647,0.12,6.707,0.043,8.485,0.111,10.176,0.144,11.045,0.255,15.631,0.144,16.515,0.255,8.54,0.04,9.451,0.098,9.479,0.04,7.888,0.098,21.445,0.087,21.527,0.194
16.293,0.082,8.261,0.211,17.712,0.082,6.665,0.211,14.522,0.298,9.782,0.409,8.742,0.632,5.757,0.843,10.398,0.632,8.953,0.843,22.365,0.118,19.344,0.139,39.754,0.118,31.507,0.139,9.124,0.039,7.949,0.107,6.646,0.039,7.652,0.107,6.596,0.034,8.464,0.084,9.662,0.135,10.623,0.224,15.15,0.135,16.202,0.224,8.487,0.077,9.368,0.119,9.456,0.077,7.857,0.119,20.108,0.074,19.334,0.169
16.176,0.034,8.187,0.23,17.685,0.034,6.69,0.23,14.676,0.298,9.77,0.4,8.808,0.582,5.793,0.87,10.362,0.582,8.926,0.87,21.983,0.07,19.077,0.189,38.951,0.07,31.271,0.189,9.009,0.043,7.861,0.098,6.403,0.043,7.605,0.098,6.515,0.059,8.276,0.082,9.804,0.19,10.83,0.281,15.245,0.19,16.355,0.281,8.43,0.065,9.331,0.108,9.248,0.065,7.774,0.108,18.33,0.081,17.328,0.184
