G6Pdh_1-488,G6Pdh_1-BG,G6Pdh_1-568,G6Pdh_1-BG,G6Pdh_2-488,G6Pdh_2-BG,G6Pdh_2-568,G6Pdh_2-BG,G6Pdh_3-488,G6Pdh_3-BG,G6Pdh_3-568,G6Pdh_3-BG,G6Pdh_4-488,G6Pdh_4-BG,G6Pdh_4-568,G6Pdh_4-BG,G6Pdh_5-488,G6Pdh_5-BG,G6Pdh_5-568,G6Pdh_5-BG,G6Pdh_6-488,G6Pdh_6-BG,G6Pdh_6-568,G6Pdh_6-BG,G6Pdh_7-488,G6Pdh_7-BG,G6Pdh_7-568,G6Pdh_7-BG,G6Pdh_8-488,G6Pdh_8-BG,G6Pdh_8-568,G6Pdh_8-BG,G6Pdh_9-488,G6Pdh_9-BG,G6Pdh_9-568,G6Pdh_9-BG,G6Pdh_10-488,G6Pdh_10-BG,G6Pdh_10-568,G6Pdh_10-BG,G6Pdh_1-488,G6Pdh_1-BG,G6Pdh_1-568,G6Pdh_1-BG,G6Pdh_2-488,G6Pdh_2-BG,G6Pdh_2-568,G6Pdh_2-BG,G6Pdh_3-488,G6Pdh_3-BG,G6Pdh_3-568,G6Pdh_3-BG,G6Pdh_4-488,G6Pdh_4-BG,G6Pdh_4-568,G6Pdh_4-BG,G6Pdh_5-488,G6Pdh_5-BG,G6Pdh_5-568,G6Pdh_5-BG
17.084,0.055,3.862,0.239,21.228,0.055,6.246,0.239,15.864,0.393,11.123,0.436,10.953,0.525,6.918,0.955,11.282,0.525,8.581,0.955,33.665,0.264,12.019,0.477,40.784,0.264,12.84,0.477,18.269,0.052,8.387,0.12,16.32,0.052,9.24,0.12,12.038,0.068,6.862,0.12,21.24,0.249,14.711,0.455,21.972,0.249,18.575,0.455,12.026,0.068,8.566,0.139,11.629,0.068,6.628,0.139,23.793,0.13,13.456,0.261
17.088,0.066,3.877,0.248,21.253,0.066,6.22,0.248,15.951,0.42,11.091,0.42,10.89,0.491,6.8,0.943,11.282,0.491,8.521,0.943,33.687,0.327,11.956,0.484,40.263,0.327,12.688,0.484,18.264,0.039,8.322,0.093,16.048,0.039,9.29,0.093,11.854,0.036,6.804,0.125,21.178,0.28,14.867,0.452,21.928,0.28,18.718,0.452,12.051,0.062,8.546,0.133,11.552,0.062,6.566,0.133,23.669,0.11,13.441,0.231
17.134,0.055,3.868,0.245,21.319,0.055,6.075,0.245,15.752,0.37,10.951,0.45,10.806,0.527,6.771,0.875,11.259,0.527,8.528,0.875,33.362,0.314,11.9,0.468,40.033,0.314,12.795,0.468,17.885,0.041,8.28,0.13,15.738,0.041,9.308,0.13,11.776,0.036,6.873,0.111,20.818,0.255,14.939,0.425,22.015,0.255,18.759,0.425,11.827,0.071,8.514,0.126,11.5,0.071,6.478,0.126,23.689,0.127,13.463,0.271
17.105,0.066,3.948,0.207,21.149,0.066,6.06,0.207,15.807,0.466,10.913,0.414,10.646,0.489,6.586,0.864,11.312,0.489,8.479,0.864,33.089,0.309,11.678,0.55,40.653,0.309,13.055,0.55,17.741,0.043,8.271,0.102,15.551,0.043,9.304,0.102,11.64,0.045,6.846,0.139,20.676,0.28,15.026,0.4,21.843,0.28,18.988,0.4,11.691,0.092,8.465,0.11,11.394,0.092,6.341,0.11,23.575,0.148,13.498,0.241
16.933,0.05,3.899,0.214,20.865,0.05,5.976,0.214,15.748,0.441,10.735,0.407,10.524,0.486,6.554,0.909,11.295,0.486,8.462,0.909,32.753,0.334,11.695,0.466,40.432,0.334,12.81,0.466,17.585,0.055,8.283,0.111,15.396,0.055,9.336,0.111,11.608,0.045,6.868,0.114,20.467,0.207,15.316,0.401,21.845,0.207,19.162,0.401,11.783,0.062,8.311,0.129,11.298,0.062,6.288,0.129,23.546,0.154,13.574,0.255
16.948,0.052,3.836,0.202,20.612,0.052,5.869,0.202,15.739,0.441,10.71,0.455,10.544,0.527,6.42,0.85,11.362,0.527,8.397,0.85,32.698,0.248,11.599,0.384,40.775,0.248,13.042,0.384,17.551,0.036,8.273,0.091,15.551,0.036,9.39,0.091,11.636,0.055,6.933,0.116,20.404,0.25,15.349,0.373,21.874,0.25,19.302,0.373,11.719,0.083,8.382,0.102,11.267,0.083,6.254,0.102,23.551,0.13,13.393,0.237
16.938,0.061,3.952,0.211,20.605,0.061,5.81,0.211,15.633,0.395,10.586,0.357,10.54,0.543,6.402,0.968,11.338,0.543,8.39,0.968,32.421,0.37,11.596,0.425,41.092,0.37,13.123,0.425,17.563,0.043,8.271,0.095,15.302,0.043,9.385,0.095,11.521,0.05,6.944,0.13,20.245,0.222,15.513,0.399,21.824,0.222,19.538,0.399,11.71,0.083,8.251,0.117,11.192,0.083,6.104,0.117,23.297,0.119,13.476,0.283
17.053,0.064,3.958,0.243,20.728,0.064,5.76,0.243,15.588,0.366,10.363,0.436,10.334,0.52,6.217,0.882,11.311,0.52,8.293,0.882,32.405,0.225,11.584,0.352,40.991,0.225,13.269,0.352,17.349,0.039,8.266,0.107,15.318,0.039,9.439,0.107,11.466,0.059,6.98,0.116,20.159,0.236,15.643,0.413,21.843,0.236,19.597,0.413,11.737,0.079,8.387,0.127,11.26,0.079,6.148,0.127,23.57,0.107,13.255,0.25
16.972,0.077,3.909,0.214,20.516,0.077,5.694,0.214,15.413,0.359,10.37,0.405,10.34,0.566,6.251,0.891,11.241,0.566,8.285,0.891,32.222,0.261,11.521,0.402,40.811,0.261,13.223,0.402,17.256,0.034,8.268,0.091,14.985,0.034,9.513,0.091,11.364,0.057,7.048,0.127,19.968,0.253,15.587,0.399,21.77,0.253,19.669,0.399,11.551,0.11,8.291,0.13,11.088,0.11,6.074,0.13,23.424,0.121,13.301,0.261
16.989,0.07,3.975,0.209,20.561,0.07,5.713,0.209,15.455,0.343,10.298,0.309,10.232,0.57,6.172,0.893,11.349,0.57,8.328,0.893,31.336,0.245,11.191,0.35,40.946,0.245,13.143,0.35,17.188,0.027,8.255,0.107,14.786,0.027,9.478,0.107,11.269,0.039,7.035,0.136,19.792,0.261,15.705,0.468,21.775,0.261,19.776,0.468,11.443,0.076,8.179,0.102,11.02,0.076,6.007,0.102,23.304,0.116,13.23,0.252
