kl-3_1-405,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-405,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-405,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-405,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_5-405,kl-3_5-BG,kl-3_5-568,kl-3_5-BG,kl-3_6-405,kl-3_6-BG,kl-3_6-568,kl-3_6-BG,kl-3_7-405,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-405,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-405,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-405,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-405,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-405,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_13-405,kl-3_13-BG,kl-3_13-568,kl-3_13-BG
14.942,0.314,22.799,0.014,26.253,0.114,46.869,0,8.261,0.143,80.802,0.014,8.226,0.143,74.034,0.014,21.313,0.2,84.04,0.014,40.087,0.5,136.216,0.1,16.431,0.5,49.693,0.1,19.216,0.612,56.922,0.102,33.825,0.612,110.691,0.102,28.742,0.403,73.563,0,33.511,0.069,94.61,0,28.247,0.023,93.23,0.551,33.595,0.023,97.117,0.551
15.265,0.271,23.626,0.014,26.354,0.143,47.031,0,8.025,0.114,80.409,0,8.121,0.114,75.246,0,21.893,0.143,84.461,0.014,39.631,0.486,136.264,0.129,17.494,0.486,53.127,0.129,21.012,0.449,64.276,0.041,33.334,0.449,108.991,0.041,28.168,0.361,72.171,0.014,33.713,0.194,94.496,0,28.944,0.091,93.451,0.333,32.857,0.091,96.369,0.333
14.968,0.129,23.486,0.014,25.73,0.214,46.793,0,8.477,0.1,80.58,0,8.052,0.1,73.866,0,21.363,0.186,84.446,0,38.46,0.6,133.747,0.086,16.655,0.6,51.804,0.086,18.375,0.327,54.928,0.061,33.08,0.327,110.031,0.061,27.797,0.306,71.732,0,33.155,0.153,95.022,0,28.388,0.034,93.204,0.423,32.783,0.034,95.371,0.423
14.979,0.2,23.646,0,25.351,0.114,46.81,0,8.232,0.071,81.134,0.014,8.121,0.071,74.557,0.014,21.111,0.171,84.439,0,39.339,0.614,137.218,0.143,17.39,0.614,54.32,0.143,21.826,0.429,67.688,0.061,32.514,0.429,107.932,0.061,27.298,0.125,70.519,0.014,33.39,0.097,94.506,0.014,28.629,0.034,94.081,0.615,32.716,0.034,95.143,0.615
14.702,0.186,23.361,0.014,25.312,0.086,46.674,0,8.034,0.071,81.057,0,8.05,0.071,74.16,0,21.191,0.157,84.389,0.014,37.798,0.643,133.704,0.1,16.917,0.643,54.688,0.1,18.36,0.286,56.237,0.061,32.865,0.286,108.433,0.061,27.204,0.139,71.066,0,33.508,0.097,94.37,0.014,28.46,0.023,93.58,0.615,32.061,0.023,93.878,0.615
14.961,0.086,24.036,0.014,24.842,0.143,45.88,0,8.216,0.114,80.38,0.014,8.334,0.114,74.41,0.014,21.088,0.071,84.472,0,38.356,0.643,136.55,0.086,17.851,0.643,56.633,0.086,20.61,0.429,63.237,0.041,33.829,0.429,112.992,0.041,26.815,0.292,70.696,0,33.244,0.167,94.034,0,28.316,0.045,93.687,0.5,32.032,0.045,93.43,0.5
14.605,0.171,23.611,0,24.239,0.1,46.224,0,7.991,0.057,79.47,0.014,7.919,0.057,73.572,0.014,20.963,0.143,83.999,0.014,38.158,0.586,135.868,0.086,17.804,0.586,55.89,0.086,18.402,0.531,56.129,0.082,33.461,0.531,112.561,0.082,26.486,0.153,69.497,0,32.591,0.139,93.15,0.028,28.166,0.011,93.12,0.449,31.685,0.011,93.944,0.449
14.411,0.129,23.598,0,24.612,0.157,46.978,0,8.005,0.143,79.202,0,7.809,0.143,73.537,0,20.891,0.157,83.402,0.014,37.426,0.557,135.003,0.157,16.873,0.557,54.917,0.157,20.673,0.367,64.246,0.102,32.546,0.367,111.611,0.102,25.751,0.139,68.315,0,32.837,0.083,93.183,0,28.513,0.023,93.63,0.59,31.184,0.023,92.243,0.59
14.173,0.129,23.19,0.014,24.329,0.114,46.888,0,8.139,0.2,79.661,0.029,7.941,0.2,73.653,0.029,21.044,0.186,83.711,0.014,36.747,0.543,134.229,0.114,16.624,0.543,54.343,0.114,20.228,0.51,59.784,0,34.206,0.51,116.475,0,25.758,0.167,68.529,0.014,32.843,0.111,93.225,0,28.55,0.045,93.781,0.449,31.128,0.045,92.114,0.449
14.255,0.143,23.327,0.014,23.344,0.071,45.238,0,7.986,0.143,80.505,0.014,7.831,0.143,73.497,0.014,21.081,0.086,83.543,0,36.976,0.557,135.46,0.143,18.307,0.557,60.782,0.143,19.913,0.327,63.309,0.122,33.809,0.327,116.942,0.122,25.867,0.236,68.462,0.014,32.934,0.194,94.281,0,28.279,0.023,93.439,0.654,30.642,0.023,90.21,0.654
