Pgd_1-488,Pgd_1-BG,Pgd_1-568,Pgd_1-BG,Pgd_2-488,Pgd_2-BG,Pgd_2-568,Pgd_2-BG,Pgd_3-488,Pgd_3-BG,Pgd_3-568,Pgd_3-BG,Pgd_4-488,Pgd_4-BG,Pgd_4-568,Pgd_4-BG,Pgd_5-488,Pgd_5-BG,Pgd_5-568,Pgd_5-BG,Pgd_6-488,Pgd_6-BG,Pgd_6-568,Pgd_6-BG,Pgd_7-488,Pgd_7-BG,Pgd_7-568,Pgd_7-BG,Pgd_8-488,Pgd_8-BG,Pgd_8-568,Pgd_8-BG,Pgd_9-488,Pgd_9-BG,Pgd_9-568,Pgd_9-BG,Pgd_10-488,Pgd_10-BG,Pgd_10-568,Pgd_10-BG,Pgd_11-488,Pgd_11-BG,Pgd_11-568,Pgd_11-BG,Pgd_12-488,Pgd_12-BG,Pgd_12-568,Pgd_12-BG,Pgd_13-488,Pgd_13-BG,Pgd_13-568,Pgd_13-BG,Pgd_14-488,Pgd_14-BG,Pgd_14-568,Pgd_14-BG
4.948,0.3,27.952,0.033,7.337,0.3,30.361,0.033,19.158,0.233,89.685,0,15.611,0.233,74.724,0,45.961,0.033,181.227,0.033,45.133,0.033,163.604,0.033,17.448,0.067,84.876,0,18.531,0.067,89.394,0,13.132,0.8,44.323,0,32.413,0.067,104.824,0,30.09,0.067,90.219,0,11.153,0.033,41.332,0,18.232,0.033,69.343,0,18.045,0.089,97.173,0
5.022,0.3,27.853,0,7.551,0.3,30.307,0,19.169,0.3,89.897,0,15.571,0.3,73.325,0,45.808,0.033,180.84,0,44.97,0.033,162.896,0,17.381,0.067,84.024,0,18.562,0.067,88.935,0,13.144,1.433,44.266,0,31.881,0.1,104.176,0,29.627,0.1,89.547,0,10.913,0.033,41.887,0,17.463,0.033,67.89,0,18.356,0.161,97.16,0
5.046,0.367,27.834,0,7.399,0.367,30.318,0,18.954,0.2,89.267,0,15.686,0.2,75.015,0,45.699,0.1,180.453,0,44.537,0.1,162.655,0,17.745,0,84.5,0,18.43,0,89.285,0,13.122,1.167,44.297,0.033,31.822,0.133,105.833,0.033,29.627,0.133,88.793,0.033,11.146,0.1,41.233,0,18.045,0.1,68.414,0,18.129,0.143,97.481,0
5.134,0.4,28.039,0,7.504,0.4,30.453,0,18.807,0.233,89.375,0.033,16.288,0.233,77.559,0.033,45.653,0.067,180.019,0,44.433,0.067,163,0,17.627,0.067,84.398,0,18.401,0.067,89.796,0,13.053,1.133,44.039,0,32.452,0.133,102.527,0,28.57,0.133,86.607,0,10.995,0.067,41.906,0.033,17.961,0.067,67.927,0.033,18.173,0.161,97.712,0
5.021,0.267,27.797,0.033,7.349,0.267,29.869,0.033,18.657,0.367,88.7,0,16.366,0.367,77.229,0,45.637,0.233,180.766,0,44.474,0.233,162.976,0,17.961,0.033,84.47,0,18.537,0.033,88.841,0,13.047,1.033,44.348,0,31.772,0,102.721,0,28.631,0,86.171,0,10.958,0.067,40.809,0,17.868,0.067,67.841,0,18.135,0.054,97.245,0
5.148,0.533,27.649,0,7.44,0.533,30.234,0,18.568,0.1,89.637,0,16.341,0.1,77.489,0,45.819,0.033,180.456,0,44.432,0.033,163.671,0,17.488,0.167,83.414,0,18.763,0.167,88.788,0,13.076,1.067,44.193,0,32.849,0.1,104.107,0,29.28,0.1,88.173,0,11.058,0.1,41.832,0,18.009,0.1,68.573,0,18.212,0.161,97.325,0.018
5.144,0.3,27.634,0,7.427,0.3,29.822,0,18.368,0.133,89.4,0,16.463,0.133,77.474,0,45.404,0.033,179.935,0,44.547,0.033,162.644,0,17.448,0.033,84.228,0,18.792,0.033,88.877,0,13.197,1.133,43.954,0.033,32.804,0.067,103.888,0.033,29.444,0.067,88.86,0.033,11.078,0.033,41.904,0,17.791,0.033,67.764,0,18.218,0.107,97.606,0
5.012,0.467,27.666,0.033,7.572,0.467,30.21,0.033,18.444,0.133,89.321,0.033,16.363,0.133,77.226,0.033,45.023,0.033,179.874,0,44.596,0.033,162.663,0,17.865,0.033,83.808,0,18.744,0.033,88.754,0,13.269,0.967,44.514,0.033,32.897,0.167,104.135,0,29.588,0.167,88.893,0,10.967,0.133,41.281,0,17.27,0.133,66.661,0,18.167,0.071,97.297,0
5.042,0.433,27.588,0,7.588,0.433,30.213,0,18.428,0.3,88.955,0,16.356,0.3,77.048,0,45.626,0.167,180.786,0,44.525,0.167,163.026,0,17.713,0.1,85.051,0,18.319,0.1,88.979,0,13.227,1.267,44.394,0,33.425,0.1,105.726,0,29.562,0.1,90.243,0,10.78,0.033,40.638,0,17.583,0.033,67.032,0,18.074,0.089,97.517,0
5.119,0.367,27.386,0.033,7.489,0.367,30.182,0.033,18.229,0.4,88.818,0,16.44,0.4,76.76,0,45.383,0.2,180.198,0,44.81,0.2,163.081,0,17.842,0.033,83.97,0,18.484,0.033,89.289,0,13.206,1,44.03,0,33.276,0.133,105.644,0,30.233,0.133,90.794,0,10.978,0.1,41.209,0,17.638,0.1,67.283,0,18.157,0.107,97.481,0.018
5.12,0.333,27.305,0.033,7.6,0.333,29.819,0.033,18.101,0.133,88.745,0,16.442,0.133,76.836,0,45.101,0.1,180.309,0,44.475,0.1,163.291,0,17.917,0.067,84.071,0,18.588,0.067,88.884,0,13.079,1.267,43.57,0.033,33.63,0.133,104.342,0,29.321,0.133,88.191,0,11.114,0.033,42.047,0.033,17.694,0.033,67.546,0.033,18.081,0.107,96.885,0
5.008,0.267,27.225,0,7.469,0.267,29.89,0,18.057,0.133,88.824,0,16.381,0.133,76.491,0,45.006,0,180.285,0,44.215,0,163.524,0,18.039,0.033,84.769,0,18.917,0.033,89.007,0,13.243,1.233,43.625,0.1,33.822,0.133,105.203,0,29.856,0.133,89.677,0,11.251,0.067,42.573,0.033,17.355,0.067,67.317,0.033,17.885,0.071,96.921,0
5.037,0.6,27.386,0.033,7.618,0.6,30.147,0.033,17.852,0.1,88.509,0,16.479,0.1,76.699,0,44.69,0.033,179.802,0.033,44.327,0.033,163.001,0.033,18.089,0.1,84.77,0,18.833,0.1,91.656,0,13.152,0.967,43.692,0,34.078,0,105.982,0,29.74,0,89.376,0,11.032,0.133,42.459,0,17.647,0.133,67.614,0,18.061,0.125,96.938,0.036
5.015,0.467,27.067,0.033,7.707,0.467,29.563,0.033,17.776,0.133,88.05,0.033,16.553,0.133,76.699,0.033,45.348,0.067,180.393,0,44.386,0.067,163.665,0,17.95,0.067,84.141,0,18.273,0.067,89.233,0,13.346,1.167,44.054,0,34.053,0.133,106.306,0,30.136,0.133,90.712,0,11.028,0.033,42.054,0,17.273,0.033,66.675,0,18.044,0.125,96.78,0.018
4.98,0.433,27.162,0,7.787,0.433,29.743,0,17.621,0.167,87.816,0,16.557,0.167,76.682,0,45.233,0.1,179.936,0.033,44.319,0.1,162.958,0.033,17.903,0.033,83.166,0,18.336,0.033,88.449,0,13.216,1.5,43.883,0.033,34.664,0.167,107.192,0,30.235,0.167,91.173,0,10.78,0.067,41.622,0.067,17.835,0.067,68.102,0.067,17.892,0.25,97.519,0
