kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_5-488,kl-3_5-BG,kl-3_5-568,kl-3_5-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_13-488,kl-3_13-BG,kl-3_13-568,kl-3_13-BG,kl-3_14-488,kl-3_14-BG,kl-3_14-568,kl-3_14-BG,kl-3_15-488,kl-3_15-BG,kl-3_15-568,kl-3_15-BG,kl-3_16-488,kl-3_16-BG,kl-3_16-568,kl-3_16-BG,kl-3_17-488,kl-3_17-BG,kl-3_17-568,kl-3_17-BG
32.775,0.798,29.021,0.133,24.91,0.055,37.879,0.006,24.73,0.495,24.602,0.046,37.945,0.08,27.978,0.011,69.833,0.08,38.74,0.011,16.516,0.144,66.424,0.024,10.133,0.144,45.623,0.024,25.779,0.231,41.499,0.091,30.475,0.231,44.24,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.245,0.865,29.079,0.128,25.401,0.072,37.894,0.023,24.95,0.509,24.832,0.048,38.544,0.061,27.97,0.023,70.539,0.061,38.718,0.023,16.617,0.168,66.437,0.048,9.631,0.168,43.718,0.048,25.428,0.163,40.971,0.062,30.114,0.163,43.87,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.517,0.758,29.011,0.122,25.51,0.074,37.66,0.021,24.786,0.516,24.352,0.025,38.696,0.088,27.703,0.015,70.611,0.088,38.403,0.015,16.799,0.111,66.349,0.029,9.514,0.111,44.677,0.029,25.136,0.221,40.421,0.077,29.854,0.221,43.713,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.02,0.69,29.067,0.114,25.857,0.057,37.689,0.013,24.912,0.507,24.204,0.034,39.357,0.069,27.457,0.01,70.563,0.069,38.132,0.01,16.784,0.062,65.908,0.072,9.125,0.062,43.581,0.072,24.772,0.212,39.93,0.062,29.677,0.212,42.823,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.519,0.67,29.138,0.114,26.21,0.055,37.537,0.019,24.941,0.526,24.017,0.038,39.746,0.078,27.43,0.015,71.01,0.078,38.013,0.015,16.948,0.159,66.149,0.019,8.482,0.159,40.741,0.019,24.343,0.192,39.151,0.048,28.995,0.192,42.238,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.132,0.701,29.149,0.11,26.754,0.065,37.777,0.019,25.034,0.541,23.728,0.048,39.963,0.059,27.226,0.019,70.986,0.059,37.902,0.019,17.077,0.154,65.82,0.029,8.855,0.154,44.22,0.029,23.833,0.173,38.255,0.062,28.706,0.173,41.794,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.42,0.718,29.272,0.12,27.241,0.07,38.143,0.017,24.981,0.53,23.707,0.04,40.315,0.055,26.991,0.011,70.908,0.055,37.453,0.011,17.335,0.173,66.45,0.029,8.232,0.173,40.713,0.029,23.888,0.163,38.259,0.091,28.886,0.163,41.498,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.127,0.707,29.15,0.141,27.734,0.072,38.177,0.021,25.269,0.524,23.673,0.042,40.855,0.069,26.777,0.013,71.691,0.069,37.52,0.013,17.564,0.101,66.213,0.034,7.604,0.101,38.349,0.034,23.575,0.216,37.711,0.087,28.415,0.216,41.581,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.418,0.73,29.243,0.139,28.15,0.069,38.057,0.017,25.454,0.503,23.617,0.034,42.101,0.08,27.078,0.008,72.118,0.08,37.519,0.008,17.704,0.125,65.515,0.038,7.874,0.125,40.01,0.038,23.302,0.255,37.212,0.067,28.335,0.255,41.042,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.844,0.684,29.257,0.131,28.732,0.067,38.447,0.013,25.667,0.543,23.645,0.03,43.205,0.061,27.087,0.015,72.9,0.061,37.752,0.015,17.641,0.149,65.446,0.029,7.595,0.149,39.342,0.029,23.145,0.231,36.622,0.072,27.923,0.231,40.361,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
