6-Pgd_KK_1-405,6-Pgd_KK_1-BG,6-Pgd_KK_1-568,6-Pgd_KK_1-BG,6-Pgd_KK_2-405,6-Pgd_KK_2-BG,6-Pgd_KK_2-568,6-Pgd_KK_2-BG,6-Pgd_KK_3-405,6-Pgd_KK_3-BG,6-Pgd_KK_3-568,6-Pgd_KK_3-BG,6-Pgd_KK_4-405,6-Pgd_KK_4-BG,6-Pgd_KK_4-568,6-Pgd_KK_4-BG,6-Pgd_KK_5-405,6-Pgd_KK_5-BG,6-Pgd_KK_5-568,6-Pgd_KK_5-BG,6-Pgd_KK_6-405,6-Pgd_KK_6-BG,6-Pgd_KK_6-568,6-Pgd_KK_6-BG,6-Pgd_KK_7-405,6-Pgd_KK_7-BG,6-Pgd_KK_7-568,6-Pgd_KK_7-BG,6-Pgd_KK_8-405,6-Pgd_KK_8-BG,6-Pgd_KK_8-568,6-Pgd_KK_8-BG,6-Pgd_KK_9-405,6-Pgd_KK_9-BG,6-Pgd_KK_9-568,6-Pgd_KK_9-BG,6-Pgd_KK_10-405,6-Pgd_KK_10-BG,6-Pgd_KK_10-568,6-Pgd_KK_10-BG,6-Pgd_KK_11-405,6-Pgd_KK_11-BG,6-Pgd_KK_11-568,6-Pgd_KK_11-BG,6-Pgd_KK_12-405,6-Pgd_KK_12-BG,6-Pgd_KK_12-568,6-Pgd_KK_12-BG,6-Pgd_KK_13-405,6-Pgd_KK_13-BG,6-Pgd_KK_13-568,6-Pgd_KK_13-BG,6-Pgd_KK_14-405,6-Pgd_KK_14-BG,6-Pgd_KK_14-568,6-Pgd_KK_14-BG,6-Pgd_KK_15-405,6-Pgd_KK_15-BG,6-Pgd_KK_15-568,6-Pgd_KK_15-BG,6-Pgd_KK_16-405,6-Pgd_KK_16-BG,6-Pgd_KK_16-568,6-Pgd_KK_16-BG,6-Pgd_KK_17-405,6-Pgd_KK_17-BG,6-Pgd_KK_17-568,6-Pgd_KK_17-BG,6-Pgd_KK_18-405,6-Pgd_KK_18-BG,6-Pgd_KK_18-568,6-Pgd_KK_18-BG
34.19,0.229,53.693,0.029,19.281,0.143,30.86,0,18.98,0.057,70.454,0,12.75,0.057,52.045,0,19.309,0.057,71.82,0,17.235,0.171,42.212,0,18.21,0.123,49.677,0,32.27,1.357,72.011,0.19,18.569,1.357,47.717,0.048,21.558,0,58.212,0,21.314,0,58.363,0,21.921,0,63.955,0.014,17.496,0,51.605,0.014,27.62,0,73.185,0,40.059,0,92.809,0,37.347,0,77.135,0.056,51.31,0,133.879,0.056,40.312,0,102.716,0.056
34.083,0.229,53.709,0.057,19.551,0.143,30.972,0,18.928,0.171,70.026,0,12.061,0.171,48.589,0,18.93,0.029,71.425,0,17.238,0.086,42.302,0,18.175,0.11,49.379,0.006,32.233,1.071,72.66,0.048,18.626,1.071,47.942,0.095,21.471,0,58.061,0.029,21.397,0,58.49,0.029,22.078,0,64.457,0,17.871,0,52.215,0,27.465,0,73.002,0.028,40.012,0,93.799,0.014,37.345,0,77.142,0.028,50.891,0,132.474,0.028,40.404,0,102.561,0.028
33.386,0.257,53.436,0,19.586,0.114,31.13,0,18.448,0.143,69.704,0,12.605,0.143,51.799,0,18.844,0.229,71.576,0,17.353,0.143,42.092,0,18.239,0.13,49.768,0.013,32.335,1.119,72.49,0.095,18.509,1.119,47.875,0.048,20.955,0,57.5,0,21.265,0,58.195,0,21.588,0,63.331,0.014,17.222,0,51.443,0.014,27.652,0,73.41,0.028,40.136,0,94.443,0,37.287,0,77.709,0.014,51.39,0,133.051,0.014,40.623,0,103.199,0.014
33.65,0.114,53.783,0,19.21,0.029,30.95,0,18.857,0.143,69.33,0,12.274,0.143,51.579,0,18.355,0.057,68.853,0,17.754,0.057,42.967,0,18.392,0.104,49.546,0,32.083,1.381,72.255,0.048,18.687,1.381,47.439,0.071,20.666,0,55.759,0.029,21.16,0,57.346,0.029,21.48,0,63.197,0.014,17.387,0,50.998,0.014,27.465,0,72.637,0,40.28,0,93.917,0.028,37.755,0,79.054,0.042,50.725,0,132.776,0.042,40.302,0,102.85,0.042
33.607,0.257,54.204,0,19.427,0.029,30.891,0,18.77,0.086,69.204,0,12.316,0.086,51.051,0,18.442,0.143,70.334,0,17.636,0.057,42.439,0,18.552,0.13,49.628,0,32.022,1,72.533,0.071,18.728,1,47.595,0.095,20.478,0,55.945,0,20.937,0,57.457,0,20.262,0,61.413,0,17.02,0,50.355,0,27.427,0,72.619,0.056,40.244,0,93.364,0.014,37.552,0,77.653,0.028,50.363,0,132.111,0.028,40.263,0,102.859,0.028
33.458,0.229,53.867,0,18.374,0.029,30.023,0,18.616,0.143,68.93,0,12.796,0.143,51.168,0,18.787,0.171,71.15,0,17.785,0.114,42.723,0,18.663,0.078,49.393,0.006,31.788,1.143,72.581,0.095,18.752,1.143,47.26,0.095,20.55,0,56.612,0,20.911,0,57.489,0,20.343,0,61.72,0.014,17.653,0,52.303,0.014,27.621,0,72.581,0.042,40.795,0,94.589,0,36.245,0,74.214,0,50.651,0,131.218,0,40.39,0,102.916,0
33.383,0.286,53.863,0,19.167,0.057,31.274,0,18.622,0.143,69.401,0.029,12.398,0.143,51.431,0.029,18.93,0,71.076,0,17.596,0.171,42.37,0,18.857,0.162,49.546,0,32.03,1,72.48,0.095,18.363,1,47.439,0.119,21.161,0,56.63,0,20.912,0,57.552,0,20.942,0,62.028,0,16.988,0,50.871,0,27.338,0,72.817,0.028,40.909,0,94.715,0,36.59,0,76.522,0.069,50.928,0,132.172,0.069,40.684,0,104.068,0.069
33.025,0.114,53.875,0.029,19.108,0.171,30.596,0.029,18.497,0.143,69.101,0,12.38,0.143,51.188,0,18.926,0.086,70.632,0,18.04,0.086,42.805,0,19.021,0.13,49.501,0.013,32.314,1.024,72.625,0.119,18.597,1.024,47.735,0.071,20.634,0,56.512,0,21.115,0,56.973,0,20.496,0,61.412,0.014,17.29,0,51.015,0.014,27.541,0,72.828,0.028,40.53,0,94.551,0.028,37.231,0,78.723,0.042,50.351,0,132.604,0.042,40.089,0,102.765,0.042
32.949,0.171,53.923,0,18.682,0.086,30.699,0,18.251,0.057,68.869,0,8.996,0.057,37.055,0,18.711,0.229,70.688,0,17.933,0.086,42.815,0,19.209,0.143,49.218,0.006,32.215,1.071,72.415,0.071,18.633,1.071,47.718,0.024,20.163,0,56.161,0,21.004,0,57.289,0,20.061,0,61.026,0,16.902,0,50.239,0,27.644,0,72.46,0,41.107,0,95.004,0,37.716,0,78.695,0.028,49.729,0,130.216,0.028,39.694,0,101.525,0.028
32.763,0.314,53.84,0,18.823,0.2,30.392,0,18.199,0.057,68.256,0.029,12.177,0.057,49.481,0.029,18.204,0.2,68.968,0,17.908,0.057,42.785,0,19.277,0.11,49.122,0.006,32.026,1.095,72.474,0.024,18.546,1.095,47.537,0.071,20.177,0,55.542,0,20.953,0,56.765,0,19.825,0,60.306,0.042,16.661,0,49.645,0.042,27.35,0,72.089,0,41.039,0,94.653,0,37.445,0,79.392,0.056,49.561,0,128.903,0.056,39.9,0,102.925,0.056
