kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_5-488,kl-3_5-BG,kl-3_5-568,kl-3_5-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_13-488,kl-3_13-BG,kl-3_13-568,kl-3_13-BG,kl-3_14-488,kl-3_14-BG,kl-3_14-568,kl-3_14-BG,kl-3_15-488,kl-3_15-BG,kl-3_15-568,kl-3_15-BG,kl-3_16-488,kl-3_16-BG,kl-3_16-568,kl-3_16-BG,kl-3_17-488,kl-3_17-BG,kl-3_17-568,kl-3_17-BG
57.544,0.264,62.458,0.064,14.725,0.057,52.69,0.021,12.634,0.057,71.422,0.021,66.371,0.044,58.376,0.012,19.481,0.086,24.664,0.043,11.382,0.239,60.217,0.118,8.219,0.239,67.51,0.118,71.574,0.014,70.468,0.014,49.18,0.014,52.261,0.014,40.268,0.028,43.164,0.043,55.133,0.028,58.774,0.014,3.97,0.028,4.174,0.014,13.989,0.329,56.747,0.091,17.116,0.341,26.525,0.24,16.51,0.341,46.339,0.24,26.199,0.341,67.017,0.24,16.49,0.024,21.134,0.012
57.451,0.2,62.381,0.064,14.64,0.014,51.86,0.029,12.63,0.014,71.61,0.029,65.921,0.056,57.706,0.029,19.686,0.029,24.87,0.021,11.506,0.412,60.065,0.134,8.383,0.412,67.427,0.134,70.975,0.028,69.999,0,48.934,0.028,51.82,0,40.071,0.014,42.693,0.021,54.544,0.014,58.332,0,3.94,0.014,4.131,0,13.505,0.309,55.477,0.057,16.966,0.317,26.25,0.222,16.716,0.317,46.1,0.222,26.582,0.317,66.742,0.222,16.622,0.018,21.324,0.018
57.061,0.307,62.051,0.1,14.702,0.064,51.385,0.021,12.555,0.064,71.474,0.021,65.213,0.071,56.921,0.029,19.708,0.043,24.776,0.021,11.682,0.252,59.729,0.109,8.449,0.252,67.581,0.109,70.119,0.028,69.056,0,48.524,0.028,51.103,0,39.425,0.028,41.864,0.021,54.192,0.028,58.111,0,3.897,0.028,4.088,0,13.114,0.319,54.151,0.067,16.955,0.327,25.9,0.234,16.773,0.327,45.653,0.234,26.922,0.327,66.457,0.234,16.34,0.02,20.905,0.012
57.061,0.279,62.111,0.071,14.923,0.064,51.741,0.036,12.595,0.064,71.397,0.036,65.05,0.059,56.732,0.018,19.732,0.007,24.595,0.021,11.836,0.269,59.993,0.084,8.58,0.269,66.929,0.084,69.679,0.028,68.673,0,48.209,0.028,50.546,0,39.146,0,41.425,0.021,54.161,0,57.477,0,3.878,0,4.04,0,12.853,0.38,53.784,0.061,17.007,0.285,25.789,0.204,17.005,0.285,45.496,0.204,27.331,0.285,66.316,0.204,16.569,0.014,20.993,0.008
57.046,0.236,62.175,0.086,14.946,0.036,51.232,0,12.61,0.036,71.408,0,65.776,0.062,56.969,0.026,19.584,0.014,24.699,0.014,11.613,0.315,59.132,0.105,8.524,0.315,66.694,0.105,69.575,0.042,68.302,0.014,48.379,0.042,50.459,0.014,39.286,0,41.2,0.014,54.394,0,57.196,0.014,3.888,0,4.024,0.014,13.039,0.317,54.666,0.061,16.841,0.327,25.702,0.17,17.196,0.327,44.949,0.17,27.602,0.327,65.91,0.17,16.585,0.012,21.121,0.022
57.351,0.3,62.082,0.086,15.428,0.064,52.876,0.021,12.67,0.064,70.911,0.021,65.351,0.079,56.56,0.012,19.526,0.021,24.557,0.057,11.84,0.269,59.762,0.109,8.64,0.269,66.562,0.109,68.562,0,67.447,0,47.614,0,49.391,0,38.416,0.014,40.332,0.057,53.728,0.014,56.518,0.014,3.825,0.014,3.95,0.014,12.916,0.354,54.017,0.061,16.888,0.273,25.517,0.19,17.323,0.273,44.998,0.19,28.081,0.273,65.798,0.19,16.212,0.014,20.616,0.012
57.377,0.2,62.303,0.071,15.51,0.021,53.188,0.036,12.615,0.021,70.937,0.036,65.187,0.074,56.28,0.012,19.385,0.007,24.313,0.021,12.089,0.277,59.334,0.143,8.791,0.277,66.574,0.143,67.515,0.014,66.092,0.014,46.725,0.014,48.353,0.014,37.714,0,39.301,0.021,53.086,0,55.586,0.014,3.77,0,3.877,0.014,12.818,0.404,54.289,0.081,16.822,0.341,25.371,0.184,17.621,0.341,44.767,0.184,28.519,0.341,65.779,0.184,16.148,0.02,20.539,0.014
57.07,0.236,62.003,0.086,15.436,0.071,51.501,0.029,12.588,0.071,71.236,0.029,65.345,0.047,56.165,0.018,19.342,0.029,24.08,0.036,12.139,0.307,59.307,0.092,8.76,0.307,66.327,0.092,66.964,0.014,65.417,0,46.506,0.014,47.813,0,37.259,0.028,38.688,0.036,52.861,0.028,55.186,0.014,3.742,0.028,3.828,0.014,12.622,0.333,53.773,0.079,16.794,0.309,25.234,0.164,17.707,0.309,44.598,0.164,28.94,0.309,65.552,0.164,16.078,0.02,20.467,0.01
57.149,0.214,61.917,0.036,15.438,0.057,50.994,0.021,12.658,0.057,71.603,0.021,66.947,0.041,57.468,0.038,19.378,0.036,24.013,0.029,12.232,0.252,58.908,0.071,8.763,0.252,65.744,0.071,66.06,0.014,64.343,0,45.966,0.014,46.865,0,37.053,0.014,38.157,0.029,52.625,0.014,54.667,0,3.715,0.014,3.788,0,12.309,0.299,52.829,0.067,16.725,0.339,25.251,0.156,17.993,0.339,44.395,0.156,29.374,0.339,65.308,0.156,15.78,0.008,20.191,0.022
57.132,0.25,61.753,0.057,15.563,0.029,51.027,0.064,12.679,0.029,71.66,0.064,65.844,0.056,56.296,0.018,19.021,0.036,23.864,0.029,12.38,0.298,58.702,0.105,8.841,0.298,65.674,0.105,64.389,0,62.535,0.014,44.784,0,45.623,0.014,35.781,0.042,36.862,0.029,51.38,0.042,52.946,0,3.615,0.042,3.664,0,12.328,0.354,53.263,0.081,16.914,0.307,25.393,0.234,18.401,0.307,44.639,0.234,29.963,0.307,65.567,0.234,16.081,0.026,20.199,0.008
