C199S_1,C199S1_BG,C199S_2,C199S2_BG,C199S_3,C199S3_BG,C199S4,C199S4_BG,C199S5,C199S5_BG,C199S6,C199S6_BG,C199S7,C199S7_BG,C199S8,C199S8_BG,C199S9,C199S9_BG,C199S10,C199S10_BG,C199S11,C199S11_BG,C199S12,C199S12_BG,C199S13,C199S13_BG,C199S14,C199S14_BG,C199S15,C199S15_BG,C199S16,C199S16_BG
4.313,0.419,5.842,0.275,5.638,0.302,12.253,1.799,8.876,0.898,7.677,0.304,5.23,0.393,8.825,0.393,6.37,0.128,6.272,0.194,7.473,0.47,8.904,0.494,1.736,0.658,7.49,0.563,7.314,0.563,8.615,0.377
4.382,0.417,5.95,0.294,5.669,0.3,12.601,1.859,8.938,0.883,7.721,0.277,5.407,0.337,8.874,0.337,6.613,0.112,6.596,0.214,7.536,0.477,9.234,0.499,1.71,0.64,7.636,0.666,7.494,0.666,8.757,0.346
4.445,0.405,6.033,0.383,5.709,0.289,12.792,1.95,9.204,0.893,7.66,0.287,5.596,0.337,8.98,0.337,6.856,0.128,6.826,0.194,7.638,0.45,9.326,0.52,1.713,0.622,7.724,0.659,7.559,0.659,8.853,0.391
4.441,0.389,6.029,0.332,5.751,0.32,12.951,1.828,9.204,0.77,7.606,0.245,5.65,0.388,8.958,0.388,7.135,0.148,7.202,0.194,7.678,0.462,9.42,0.546,1.721,0.667,7.855,0.691,7.687,0.691,8.933,0.37
4.477,0.405,6.136,0.304,5.808,0.326,13.171,1.811,9.386,0.954,7.634,0.265,5.887,0.362,9.178,0.362,7.405,0.107,7.304,0.204,7.8,0.515,9.579,0.496,1.74,0.632,7.934,0.654,7.768,0.654,9.12,0.366
4.535,0.399,6.195,0.285,5.832,0.312,13.374,1.656,9.486,0.867,7.598,0.255,6.036,0.398,9.278,0.398,7.65,0.122,7.574,0.143,7.872,0.461,9.751,0.531,1.739,0.698,8.065,0.659,7.879,0.659,9.197,0.359
4.563,0.377,6.198,0.292,5.801,0.267,13.48,1.792,9.626,0.898,7.679,0.292,6.082,0.383,9.288,0.383,7.779,0.184,7.63,0.24,7.918,0.533,9.944,0.61,1.768,0.605,8.088,0.611,7.902,0.611,9.4,0.427
4.592,0.368,6.199,0.294,5.876,0.32,13.678,1.794,9.769,0.944,7.634,0.287,6.133,0.403,9.31,0.403,7.862,0.102,7.739,0.179,8.036,0.477,10.086,0.557,1.727,0.718,8.305,0.698,7.98,0.698,9.416,0.408
4.62,0.36,6.207,0.273,5.889,0.302,13.803,1.804,9.896,0.923,7.627,0.281,6.223,0.388,9.274,0.388,8.102,0.107,7.795,0.148,8.048,0.48,10.235,0.56,1.757,0.672,8.354,0.645,8.007,0.645,9.532,0.367
4.615,0.447,6.241,0.308,5.903,0.326,13.949,1.701,9.757,0.816,7.583,0.259,6.256,0.378,9.4,0.378,8.208,0.107,7.807,0.173,8.137,0.533,10.254,0.512,1.729,0.654,8.444,0.672,8.042,0.672,9.545,0.401
4.653,0.387,6.282,0.308,5.935,0.352,13.939,1.837,9.889,0.852,7.644,0.267,6.421,0.383,9.455,0.383,8.362,0.148,8,0.209,8.237,0.48,10.338,0.518,1.745,0.677,8.513,0.653,8.051,0.653,9.657,0.406
4.688,0.397,6.299,0.366,5.973,0.352,13.99,1.828,9.792,0.847,7.54,0.253,6.426,0.316,9.457,0.316,8.572,0.122,8.114,0.158,8.322,0.475,10.395,0.483,1.746,0.666,8.486,0.685,8.163,0.685,9.679,0.359
4.697,0.439,6.334,0.302,5.96,0.332,13.942,1.66,9.869,0.781,7.477,0.265,6.416,0.408,9.562,0.408,8.619,0.153,8.06,0.184,8.39,0.445,10.489,0.549,1.728,0.632,8.554,0.646,8.117,0.646,9.737,0.372
4.714,0.407,6.386,0.368,5.959,0.366,13.991,1.701,9.918,0.827,7.487,0.308,6.622,0.362,9.684,0.362,8.727,0.112,8.242,0.25,8.424,0.485,10.544,0.525,1.738,0.637,8.602,0.64,8.144,0.64,9.691,0.434
4.721,0.399,6.438,0.332,6.003,0.312,14.198,1.677,10.157,0.77,7.528,0.261,6.612,0.388,9.705,0.388,8.915,0.138,8.244,0.173,8.328,0.47,10.589,0.51,1.732,0.656,8.614,0.616,8.165,0.616,9.676,0.396
4.761,0.415,6.444,0.292,6.033,0.375,14.321,1.703,10.217,0.893,7.586,0.31,6.559,0.403,9.572,0.403,8.859,0.107,8.185,0.184,8.471,0.507,10.59,0.534,1.737,0.662,8.567,0.578,8.14,0.578,9.682,0.464
4.72,0.433,6.438,0.312,6.047,0.332,14.354,1.615,10.144,0.842,7.544,0.277,6.656,0.439,9.701,0.439,8.95,0.112,8.198,0.163,8.567,0.507,10.807,0.56,1.767,0.675,8.631,0.683,8.2,0.683,9.743,0.407
4.82,0.407,6.429,0.344,6.066,0.549,14.306,1.636,10.126,0.75,7.545,0.277,6.654,0.449,9.74,0.449,8.999,0.117,8.17,0.204,8.564,0.525,10.845,0.554,1.753,0.614,8.658,0.61,8.246,0.61,9.799,0.39
