Pgd_1-488,Pgd_1-BG,Pgd_1-568,Pgd_1-BG,Pgd_2-488,Pgd_2-BG,Pgd_2-568,Pgd_2-BG,Pgd_3-488,Pgd_3-BG,Pgd_3-568,Pgd_3-BG,Pgd_4-488,Pgd_4-BG,Pgd_4-568,Pgd_4-BG,Pgd_5-488,Pgd_5-BG,Pgd_5-568,Pgd_5-BG,Pgd_6-488,Pgd_6-BG,Pgd_6-568,Pgd_6-BG,Pgd_7-488,Pgd_7-BG,Pgd_7-568,Pgd_7-BG,Pgd_8-488,Pgd_8-BG,Pgd_8-568,Pgd_8-BG,Pgd_9-488,Pgd_9-BG,Pgd_9-568,Pgd_9-BG,Pgd_10-488,Pgd_10-BG,Pgd_10-568,Pgd_10-BG,Pgd_11-488,Pgd_11-BG,Pgd_11-568,Pgd_11-BG,Pgd_12-488,Pgd_12-BG,Pgd_12-568,Pgd_12-BG,Pgd_13-488,Pgd_13-BG,Pgd_13-568,Pgd_13-BG,Pgd_14-488,Pgd_14-BG,Pgd_14-568,Pgd_14-BG
30.328,0.278,11.405,0.287,30.954,0.278,7.514,0.287,33.449,1.713,12.01,0.546,20.717,1.713,6.746,0.546,29.71,0.278,12.879,0.509,38.637,0.278,13.209,0.509,31.296,0.269,11.212,0.343,68.595,0.463,32.408,0.667,59.793,3.537,24.062,3.222,77.727,0.287,45.365,0.125,46.899,0.262,17.024,0.325,41.155,0.35,15.98,0.725,59.556,0.35,27.284,0.725,40.772,0.45,18.328,0.287
29.844,0.315,11.352,0.25,30.977,0.315,7.48,0.25,33.717,1.537,12.357,0.389,20.42,1.537,6.775,0.389,29.55,0.343,12.871,0.481,38.432,0.343,13.173,0.481,31.341,0.231,11.188,0.306,64.237,0.38,30.158,0.824,58.793,3.611,23.798,3.278,77.334,0.125,45.141,0.15,47.136,0.325,17.115,0.2,40.142,0.512,15.922,0.587,60.486,0.512,27.535,0.587,40.32,0.488,18.229,0.175
29.48,0.241,10.968,0.222,30.153,0.241,7.392,0.222,34.093,1.676,12.175,0.472,20.58,1.676,6.784,0.472,29.685,0.324,12.723,0.38,38.55,0.324,13.257,0.38,31.579,0.241,11.096,0.324,64.614,0.435,30.479,0.713,58.148,3.769,23.325,3.444,76.983,0.15,44.861,0.25,46.792,0.225,17.298,0.262,40.053,0.525,15.648,0.6,59.883,0.525,27.593,0.6,40.306,0.3,18.015,0.237
28.879,0.185,10.999,0.259,29.907,0.185,7.218,0.259,34.288,1.611,12.395,0.509,20.532,1.611,6.71,0.509,29.534,0.324,12.784,0.259,38.6,0.324,13.114,0.259,31.688,0.222,11.058,0.361,66.846,0.435,31.867,0.88,57.529,3.5,23.341,3.037,76.559,0.325,44.793,0.25,46.85,0.162,17.272,0.262,39.914,0.325,15.974,0.45,59.239,0.325,27.361,0.45,40.112,0.325,17.919,0.225
28.972,0.231,11.104,0.25,29.731,0.231,7.187,0.25,34.461,1.685,12.396,0.5,20.388,1.685,6.74,0.5,29.782,0.435,12.668,0.398,38.326,0.435,13.126,0.398,31.555,0.204,11.05,0.315,67.138,0.407,31.829,0.824,57.273,3.093,22.917,3.028,76.308,0.112,44.828,0.25,46.57,0.225,17.479,0.213,39.9,0.375,16.105,0.438,59.14,0.375,27.57,0.438,40.094,0.438,18.006,0.162
28.763,0.296,10.786,0.204,29.664,0.296,7.17,0.204,34.577,1.75,12.506,0.528,20.376,1.75,6.879,0.528,29.833,0.389,12.477,0.25,38.576,0.389,13.248,0.25,31.701,0.204,10.898,0.306,65.897,0.352,32.035,0.778,56.719,3.444,22.789,3.102,66.614,0.225,38.282,0.2,46.609,0.213,17.497,0.325,39.534,0.3,15.794,0.438,58.745,0.3,27.714,0.438,39.98,0.312,17.827,0.3
28.504,0.25,10.529,0.269,29.247,0.25,7.018,0.269,34.574,1.435,12.639,0.417,20.095,1.435,6.853,0.417,29.45,0.259,12.665,0.361,38.413,0.259,13.175,0.361,31.421,0.25,10.703,0.352,65.65,0.463,30.91,0.898,56.217,3.556,22.533,2.963,75.42,0.237,44.685,0.275,46.046,0.25,17.356,0.325,38.835,0.463,15.742,0.412,58.699,0.463,27.744,0.412,39.808,0.363,17.916,0.225
28.366,0.241,10.485,0.204,29.148,0.241,6.978,0.204,34.458,1.713,12.489,0.37,20.28,1.713,6.804,0.37,29.56,0.417,12.567,0.435,38.653,0.417,13.005,0.435,31.757,0.333,10.902,0.306,65.471,0.37,30.911,0.981,56.043,3.556,22.432,2.889,74.906,0.125,44.417,0.3,45.727,0.213,17.476,0.375,38.636,0.3,15.682,0.438,58.358,0.3,27.798,0.438,39.435,0.4,17.793,0.138
27.972,0.157,10.326,0.204,28.791,0.157,6.859,0.204,34.152,1.648,12.778,0.519,20.436,1.648,6.877,0.519,29.57,0.333,12.691,0.324,38.394,0.333,13.013,0.324,31.387,0.157,10.741,0.333,65.329,0.361,31.028,0.657,55.581,3.241,22.393,3.102,74.814,0.213,44.753,0.237,45.816,0.2,17.343,0.3,38.688,0.463,16.149,0.55,58.756,0.463,27.907,0.55,39.363,0.35,17.662,0.262
27.53,0.287,10.34,0.204,28.72,0.287,6.803,0.204,34.645,1.843,12.778,0.343,20.185,1.843,6.987,0.343,29.243,0.315,12.639,0.519,38.515,0.315,13.02,0.519,31.48,0.157,10.645,0.324,64.609,0.389,30.691,0.685,55.175,3.417,22.247,3.194,73.66,0.188,43.984,0.225,45.851,0.213,17.624,0.312,38.337,0.312,15.966,0.488,58.364,0.312,27.887,0.488,39.068,0.375,17.585,0.237
27.854,0.204,10.289,0.213,28.285,0.204,6.816,0.213,34.873,1.63,12.962,0.435,20.225,1.63,6.91,0.435,29.322,0.259,12.413,0.417,38.332,0.259,13.291,0.417,31.152,0.25,10.58,0.315,63.741,0.25,30.427,0.833,54.279,3.593,22.086,3,64.26,0.087,37.699,0.312,45.462,0.237,17.661,0.3,38.093,0.312,15.949,0.5,57.438,0.312,27.998,0.5,39.029,0.387,17.648,0.225
27.812,0.176,10.165,0.222,28.577,0.176,6.8,0.222,34.875,1.602,12.992,0.38,20.178,1.602,7.025,0.38,29.612,0.222,12.564,0.472,38.179,0.222,13.054,0.472,31.287,0.278,10.565,0.38,62.452,0.343,30.399,0.759,53.836,3.62,22.016,2.907,68.443,0.125,40.357,0.3,45.187,0.237,17.611,0.325,37.831,0.262,15.793,0.425,57.885,0.262,28.313,0.425,39.006,0.237,17.429,0.237
27.591,0.241,10.219,0.222,28.149,0.241,6.734,0.222,34.765,1.898,13.117,0.352,20.229,1.898,6.959,0.352,29.696,0.269,12.543,0.324,38.227,0.269,13.281,0.324,31.355,0.157,10.496,0.343,62.713,0.417,30.268,0.759,53.351,3.917,21.789,3.481,73.289,0.2,44.805,0.35,45.578,0.2,17.77,0.237,37.039,0.387,15.868,0.237,58.166,0.387,28.199,0.237,38.931,0.375,17.58,0.188
27.574,0.241,10.2,0.259,28.129,0.241,6.644,0.259,34.987,1.852,12.998,0.537,20.163,1.852,7.072,0.537,29.319,0.296,12.55,0.38,38.326,0.296,13.183,0.38,31.485,0.157,10.568,0.241,62.74,0.315,30.194,0.806,53.629,3.722,21.896,3,73.214,0.275,44.947,0.213,44.496,0.325,17.67,0.287,37.13,0.387,15.777,0.338,57.305,0.387,28.289,0.338,38.78,0.312,17.428,0.1
27.272,0.204,10.107,0.194,27.685,0.204,6.601,0.194,34.69,1.444,13.205,0.361,20.247,1.444,7.1,0.361,29.553,0.343,12.276,0.324,38.525,0.343,13.167,0.324,31.611,0.185,10.516,0.38,62.694,0.37,30.497,0.778,53.456,3.25,21.752,3.176,73.034,0.287,45.25,0.162,44.727,0.237,17.721,0.4,37.348,0.412,15.75,0.387,56.851,0.412,28.12,0.387,38.75,0.412,17.263,0.188
26.92,0.12,9.986,0.231,28.027,0.12,6.671,0.231,35.05,1.676,13.292,0.426,20.196,1.676,7.137,0.426,29.338,0.333,12.555,0.454,37.651,0.333,12.798,0.454,31.318,0.194,10.497,0.259,62.461,0.398,30.139,0.694,53.044,3.472,21.862,3.185,72.883,0.175,45.292,0.262,44.637,0.237,17.869,0.25,36.784,0.363,16.227,0.35,57.312,0.363,28.429,0.35,38.752,0.375,17.198,0.138
27.225,0.231,10.053,0.157,27.774,0.231,6.667,0.157,35.232,1.63,13.46,0.454,20.096,1.63,7.157,0.454,29.37,0.352,12.367,0.343,38.14,0.352,13.15,0.343,31.256,0.213,10.538,0.269,62.602,0.37,30.414,0.824,53.205,3.546,21.816,3.046,72.945,0.25,45.456,0.237,43.293,0.275,17.642,0.287,36.543,0.35,15.985,0.375,56.811,0.35,28.475,0.375,38.169,0.275,17.398,0.262
27.304,0.213,9.97,0.139,27.601,0.213,6.619,0.139,35.23,1.509,13.509,0.454,20.215,1.509,7.157,0.454,29.224,0.361,12.648,0.296,38.362,0.361,13.339,0.296,31.433,0.222,10.481,0.315,63.012,0.444,30.189,0.676,53.249,3.519,21.879,3.278,73.382,0.15,45.91,0.3,44.247,0.213,17.948,0.312,36.573,0.237,16.225,0.5,57.306,0.237,28.507,0.5,38.349,0.338,17.224,0.225
27.156,0.25,9.962,0.204,27.555,0.25,6.476,0.204,35.176,1.602,13.475,0.417,19.998,1.602,7.212,0.417,29.476,0.389,12.551,0.278,37.75,0.389,13.397,0.278,31.319,0.25,10.53,0.343,63.185,0.306,30.834,0.796,53.304,3.491,22.175,3.241,73.386,0.175,46.344,0.262,44.342,0.262,18.09,0.275,35.765,0.312,15.831,0.262,56.62,0.312,28.788,0.262,38.217,0.338,17.069,0.25
27.195,0.222,10.088,0.222,27.635,0.222,6.484,0.222,35.402,1.546,13.622,0.491,20.079,1.546,7.294,0.491,29.265,0.343,12.451,0.352,37.69,0.343,13.372,0.352,31.379,0.259,10.579,0.389,62.709,0.454,30.858,0.944,52.847,3.324,22.015,3.241,72.593,0.2,46.056,0.237,43.277,0.162,17.758,0.3,36.07,0.225,15.947,0.287,56.214,0.225,28.768,0.287,38.089,0.375,17.061,0.15
27.354,0.176,10.068,0.148,27.629,0.176,6.56,0.148,35.037,1.63,13.826,0.435,20.4,1.63,7.416,0.435,29.305,0.278,12.302,0.352,37.799,0.278,13.341,0.352,31.331,0.259,10.466,0.361,63.053,0.417,30.333,0.843,53.41,3.528,22.15,2.963,72.897,0.287,46.651,0.213,44.208,0.237,18.153,0.188,35.29,0.15,15.837,0.35,56.635,0.15,29.157,0.35,37.926,0.25,17.177,0.287
27.082,0.148,10.176,0.176,27.512,0.148,6.462,0.176,35.182,1.343,13.719,0.5,20.168,1.343,7.398,0.5,29.254,0.324,12.543,0.435,37.58,0.324,13.351,0.435,31.318,0.25,10.468,0.296,63.066,0.343,30.871,0.787,53.241,4.009,22.204,2.843,73.154,0.162,47.039,0.225,43.887,0.262,18.454,0.387,35.335,0.162,15.954,0.475,56.347,0.162,29.093,0.475,37.968,0.338,16.953,0.213
27.312,0.222,10.143,0.185,27.907,0.222,6.552,0.185,34.966,1.722,13.785,0.583,20.21,1.722,7.523,0.583,29.365,0.222,12.468,0.463,37.897,0.222,13.359,0.463,31.556,0.37,10.498,0.222,62.568,0.398,30.644,0.722,53.413,3.935,22.287,2.796,72.675,0.225,46.865,0.213,43.954,0.312,18.498,0.338,35.324,0.312,15.958,0.363,56.14,0.312,29.204,0.363,37.846,0.3,17.015,0.2
27.601,0.259,10.196,0.25,27.57,0.259,6.761,0.25,35.018,1.454,13.914,0.417,20.495,1.454,7.518,0.417,29.283,0.278,12.528,0.398,37.712,0.278,13.554,0.398,31.55,0.296,10.505,0.278,62.43,0.444,30.439,0.704,53.321,3.935,22.353,3.241,72.987,0.213,47.706,0.287,43.502,0.287,18.61,0.237,35.4,0.237,16.049,0.3,56.283,0.237,29.716,0.3,37.549,0.2,17.122,0.2
27.614,0.148,10.092,0.111,27.353,0.148,6.545,0.111,34.847,1.741,13.969,0.481,20.58,1.741,7.644,0.481,29.187,0.231,12.602,0.463,37.707,0.231,13.404,0.463,31.297,0.13,10.557,0.324,62.131,0.444,30.875,0.731,52.87,4.13,22.331,3.204,72.77,0.15,47.565,0.287,43.728,0.262,18.598,0.35,35.143,0.25,16.255,0.363,55.79,0.25,29.362,0.363,37.457,0.287,16.952,0.213
27.605,0.287,10.198,0.185,24.597,0.287,6.088,0.185,35.154,1.426,14.06,0.426,20.28,1.426,7.751,0.426,29.355,0.343,12.551,0.37,37.575,0.343,13.549,0.37,31.624,0.213,10.715,0.315,61.867,0.481,30.547,0.796,52.743,3.769,22.298,2.963,72.342,0.162,47.683,0.188,43.416,0.338,18.719,0.3,34.884,0.3,15.936,0.35,55.751,0.3,29.473,0.35,37.454,0.312,16.792,0.213
27.227,0.167,10.079,0.12,26.516,0.167,6.339,0.12,34.779,1.731,14.109,0.407,20.405,1.731,7.86,0.407,29.126,0.333,12.619,0.37,38.021,0.333,13.633,0.37,31.42,0.167,10.697,0.231,61.422,0.398,30.705,0.861,52.659,3.843,22.405,2.694,72.345,0.2,47.839,0.275,43.434,0.275,18.865,0.312,34.428,0.3,16.43,0.287,55.68,0.3,29.783,0.287,37.297,0.425,16.815,0.237
27.443,0.194,10.1,0.13,24.941,0.194,6.279,0.13,35.245,1.907,14.283,0.481,20.252,1.907,7.771,0.481,29.26,0.296,12.53,0.38,37.7,0.296,13.459,0.38,31.537,0.259,10.742,0.333,61.489,0.315,30.506,0.694,52.662,4.213,22.436,2.981,72.37,0.138,48.064,0.312,43.069,0.213,18.774,0.237,34.331,0.338,15.925,0.475,55.119,0.338,29.801,0.475,37.199,0.25,16.758,0.162
27.446,0.139,10.13,0.139,25.58,0.139,6.115,0.139,35.057,1.667,14.406,0.509,20.482,1.667,7.764,0.509,29.356,0.296,12.557,0.463,37.989,0.296,13.605,0.463,31.362,0.315,10.732,0.407,61.905,0.352,30.703,0.759,52.678,3.806,22.571,3.102,72.32,0.162,48.105,0.3,43.216,0.275,18.939,0.338,34.6,0.325,16.193,0.412,55.115,0.325,29.797,0.412,37.18,0.35,16.624,0.225
27.171,0.204,9.984,0.213,26.118,0.204,6.333,0.213,34.826,1.648,14.223,0.491,20.649,1.648,7.906,0.491,29.116,0.306,12.463,0.343,37.811,0.306,13.59,0.343,31.182,0.194,10.747,0.343,61.202,0.38,30.743,0.713,52.192,3.611,22.423,2.898,71.971,0.237,48.505,0.3,42.78,0.3,19.052,0.287,34.581,0.237,16.235,0.25,54.974,0.237,29.908,0.25,36.956,0.25,16.644,0.188
27.268,0.157,10.065,0.083,26.016,0.157,6.179,0.083,34.994,1.806,14.351,0.481,20.554,1.806,7.921,0.481,29.267,0.259,12.687,0.491,37.921,0.259,13.797,0.491,31.142,0.185,10.878,0.435,60.591,0.333,30.776,0.694,51.911,3.63,22.532,3.139,71.702,0.225,48.38,0.2,42.813,0.338,19.265,0.225,33.288,0.275,16.273,0.3,54.842,0.275,30.164,0.3,36.387,0.262,16.388,0.225
27.499,0.222,10.206,0.222,26.417,0.222,6.41,0.222,33.952,1.546,14.13,0.361,20.432,1.546,7.957,0.361,29.043,0.315,12.409,0.407,37.76,0.315,13.625,0.407,31.228,0.241,10.789,0.37,61.059,0.398,31.166,0.907,52.141,3.972,22.552,3.056,71.91,0.3,48.861,0.2,42.521,0.275,19.14,0.4,33.908,0.275,16.335,0.35,54.861,0.275,30.072,0.35,36.558,0.525,16.579,0.162
27.423,0.13,10.211,0.12,26.624,0.13,6.499,0.12,34.451,1.435,14.534,0.519,20.395,1.435,8.067,0.519,29.223,0.287,12.552,0.37,37.484,0.287,13.762,0.37,31.439,0.204,10.794,0.352,61.564,0.407,30.515,0.75,52.204,3.907,22.665,3.056,71.883,0.1,48.802,0.175,42.151,0.15,18.94,0.25,33.678,0.287,16.255,0.25,54.51,0.287,30.105,0.25,36.604,0.237,16.539,0.25
27.561,0.167,10.263,0.241,27.44,0.167,6.752,0.241,34.586,1.722,14.691,0.444,19.482,1.722,7.847,0.444,28.934,0.37,12.585,0.333,37.442,0.37,13.886,0.333,31.323,0.25,11.029,0.306,60.994,0.37,31.068,0.565,50.9,3.565,22.34,3.037,71.929,0.175,49.007,0.363,42.118,0.25,19.358,0.363,33.471,0.25,16.557,0.312,53.704,0.25,29.931,0.312,36.513,0.237,16.329,0.175
