G6Pdh_1-488,G6Pdh_1-BG,G6Pdh_1-568,G6Pdh_1-BG,G6Pdh_2-488,G6Pdh_2-BG,G6Pdh_2-568,G6Pdh_2-BG,G6Pdh_3-488,G6Pdh_3-BG,G6Pdh_3-568,G6Pdh_3-BG,G6Pdh_4-488,G6Pdh_4-BG,G6Pdh_4-568,G6Pdh_4-BG,G6Pdh_5-488,G6Pdh_5-BG,G6Pdh_5-568,G6Pdh_5-BG,G6Pdh_6-488,G6Pdh_6-BG,G6Pdh_6-568,G6Pdh_6-BG,G6Pdh_7-488,G6Pdh_7-BG,G6Pdh_7-568,G6Pdh_7-BG,G6Pdh_8-488,G6Pdh_8-BG,G6Pdh_8-568,G6Pdh_8-BG,G6Pdh_9-488,G6Pdh_9-BG,G6Pdh_9-568,G6Pdh_9-BG,G6Pdh_10-488,G6Pdh_10-BG,G6Pdh_10-568,G6Pdh_10-BG,G6Pdh_11-488,G6Pdh_11-BG,G6Pdh_11-568,G6Pdh_11-BG,G6Pdh_12-488,G6Pdh_12-BG,G6Pdh_12-568,G6Pdh_12-BG,G6Pdh_13-488,G6Pdh_13-BG,G6Pdh_13-568,G6Pdh_13-BG,G6Pdh_14-488,G6Pdh_14-BG,G6Pdh_14-568,G6Pdh_14-BG,G6Pdh_15-488,G6Pdh_15-BG,G6Pdh_15-568,G6Pdh_15-BG,G6Pdh_16-488,G6Pdh_16-BG,G6Pdh_16-568,G6Pdh_16-BG,G6Pdh_17-488,G6Pdh_17-BG,G6Pdh_17-568,G6Pdh_17-BG,G6Pdh_18-488,G6Pdh_18-BG,G6Pdh_18-568,G6Pdh_18-BG,G6Pdh_19-488,G6Pdh_19-BG,G6Pdh_19-568,G6Pdh_19-BG,G6Pdh_20-488,G6Pdh_20-BG,G6Pdh_20-568,G6Pdh_20-BG,G6Pdh_21-488,G6Pdh_21-BG,G6Pdh_21-568,G6Pdh_21-BG,G6Pdh_22-488,G6Pdh_22-BG,G6Pdh_22-568,G6Pdh_22-BG
19.364,0.243,43.337,0.062,11.499,0.243,38.626,0.062,17.125,0.243,54.535,0.062,39.139,0.045,33.188,0.028,38.943,0.045,38.457,0.028,13.902,0.007,27.049,0.003,4.083,0.01,45.868,0.014,3.963,0.01,16.855,0.014,12.132,0.01,34.845,0.01,32.189,0.024,80.153,0.028,12.105,0.007,34.463,0.007,32.919,0.027,37.781,0.014,37.765,0.027,56.381,0.014,39.505,0.027,52.031,0.014,13.709,0.048,41.421,0.01,9.738,0.031,32.605,0.01,11.292,0.031,34.181,0.01,42.905,0.339,59.495,0.238,28.585,0.339,33.975,0.238,36.634,0.093,75.711,0.072,33.278,0.039,42.732,0.037,66.018,0.039,67.764,0.037
19.393,0.236,44.023,0.062,11.73,0.236,38.803,0.062,17.152,0.236,54.365,0.062,38.372,0.042,32.581,0.031,38.769,0.042,38.101,0.031,13.919,0.014,27.032,0.007,3.963,0.007,45.117,0.028,3.999,0.007,17.009,0.028,13.129,0.007,37.589,0.007,32.465,0.028,79.977,0.01,12.254,0.017,34.49,0.003,32.569,0.062,37.324,0.017,38.069,0.062,56.148,0.017,39.673,0.062,52.1,0.017,13.295,0.029,39.784,0.01,9.792,0.031,32.404,0.027,11.418,0.031,33.915,0.027,43.1,0.289,59.381,0.182,28.379,0.289,33.749,0.182,35.729,0.081,73.696,0.052,35.052,0.058,44.433,0.05,66.829,0.058,68.561,0.05
19.285,0.247,43.902,0.069,11.605,0.247,38.781,0.069,17.192,0.247,54.718,0.069,38.858,0.028,32.793,0.021,38.869,0.028,38.121,0.021,14.27,0.01,27.552,0.007,3.889,0.01,44.594,0.007,4.079,0.01,16.948,0.007,13.476,0.014,38.672,0.014,33.039,0.021,79.672,0,12.301,0.007,34.229,0.01,32.715,0.033,37.289,0.027,38.577,0.033,56.119,0.027,39.795,0.033,52.199,0.027,12.421,0.021,37.132,0.025,9.795,0.035,32.225,0.012,11.769,0.035,33.885,0.012,43.31,0.285,59.215,0.153,28.29,0.285,33.581,0.153,36.293,0.083,74.127,0.062,34.623,0.062,43.614,0.029,66.185,0.062,68.251,0.029
18.655,0.222,43.556,0.042,11.596,0.222,38.703,0.042,17.107,0.222,54.78,0.042,38.293,0.028,32.285,0.017,38.658,0.028,37.848,0.017,14.274,0.021,27.017,0.007,3.863,0.028,44.097,0.028,4.097,0.028,16.845,0.028,13.035,0.003,37.358,0.007,33.331,0.01,79.316,0.024,12.332,0.017,34.291,0.01,32.717,0.027,37.151,0.021,38.908,0.027,56.084,0.021,40.107,0.027,52.281,0.021,12.565,0.031,37.643,0.019,9.867,0.023,32.014,0.006,12.077,0.023,33.815,0.006,43.516,0.302,59.234,0.171,28.363,0.302,33.513,0.171,35.514,0.072,72.533,0.045,33.131,0.043,41.377,0.048,65.14,0.043,67.215,0.048
18.474,0.181,43.463,0.059,11.443,0.181,38.378,0.059,16.989,0.181,55.001,0.059,38.311,0,32.219,0.021,38.894,0,37.875,0.021,14.501,0.097,27.335,0.031,3.746,0.01,43.227,0.01,4.158,0.01,16.784,0.01,13.519,0.021,38.637,0.014,33.786,0.017,79.151,0.01,12.485,0.007,34.064,0.017,32.409,0.027,36.47,0.019,39.13,0.027,55.682,0.019,40.23,0.027,52.294,0.019,12.712,0.035,38.281,0.01,9.951,0.019,31.821,0.023,12.238,0.019,33.788,0.023,43.503,0.331,58.973,0.186,27.93,0.331,33.139,0.186,35.518,0.076,72.07,0.066,33.786,0.037,41.692,0.031,65.802,0.037,67.381,0.031
18.237,0.236,43.096,0.069,11.389,0.236,38.233,0.069,17.056,0.236,54.891,0.069,38.388,0.045,32.225,0.01,38.989,0.045,37.787,0.01,14.479,0.035,26.74,0.021,3.755,0.014,43.005,0.017,4.208,0.014,16.618,0.017,13.324,0,37.766,0.014,34.115,0.042,78.542,0.007,12.65,0.014,33.907,0,31.325,0.031,35.218,0.033,39.062,0.031,55.172,0.033,40.263,0.031,51.98,0.033,12.627,0.014,37.753,0.012,9.947,0.035,31.617,0.017,12.384,0.035,34.033,0.017,43.728,0.302,58.975,0.176,27.731,0.302,32.949,0.176,35.15,0.074,71.039,0.041,33.561,0.045,40.94,0.056,65.58,0.045,67.241,0.056
17.958,0.229,43.029,0.083,11.368,0.229,38.313,0.083,17.05,0.229,54.777,0.083,38.205,0.035,32.182,0.003,39.147,0.035,37.742,0.003,14.751,0.031,26.945,0.024,3.765,0.017,43.427,0.003,4.193,0.017,16.618,0.003,12.677,0.014,35.547,0.01,34.441,0.028,78.335,0,12.468,0.007,33.955,0.003,31.347,0.031,35.043,0.027,39.401,0.031,55.085,0.027,40.308,0.031,52.357,0.027,12.104,0.025,36.026,0.006,9.985,0.019,31.323,0.023,12.755,0.019,33.971,0.023,43.835,0.318,59.193,0.217,27.503,0.318,32.66,0.217,33.07,0.076,66.976,0.045,32.308,0.037,39.232,0.029,64.443,0.037,65.888,0.029
17.617,0.257,42.452,0.038,11.226,0.257,37.718,0.038,17.03,0.257,55.059,0.038,37.921,0.007,31.799,0.024,38.873,0.007,37.522,0.024,14.815,0.007,26.77,0.014,3.793,0.017,43.098,0.014,4.278,0.017,16.612,0.014,12.574,0.014,34.831,0.007,35.164,0.031,78.661,0.014,12.644,0.01,33.764,0.01,31.021,0.033,34.657,0.021,39.553,0.033,54.771,0.021,40.542,0.033,52.235,0.021,12.262,0.031,36.427,0.01,10.078,0.021,31.399,0.01,13.083,0.021,34.076,0.01,43.81,0.275,59.018,0.182,27.477,0.275,32.453,0.182,32.734,0.07,65.95,0.05,32.904,0.054,39.859,0.035,64.984,0.054,66.497,0.035
17.446,0.24,42.393,0.059,11.18,0.24,37.688,0.059,17.179,0.24,54.944,0.059,37.942,0.031,31.686,0.021,39.005,0.031,37.5,0.021,15.123,0.007,27.016,0.021,3.7,0.007,42.862,0.01,4.36,0.007,16.72,0.01,13.052,0.007,36.292,0.017,35.769,0.017,78.413,0.021,12.672,0.017,33.756,0.007,30.746,0.014,34.271,0.027,39.748,0.014,54.465,0.027,40.726,0.014,52.31,0.027,11.956,0.019,35.406,0.008,10.096,0.023,31.105,0.021,13.103,0.023,33.768,0.021,44.018,0.275,59.051,0.221,27.06,0.275,32.045,0.221,30.521,0.064,61.313,0.052,33.141,0.05,39.913,0.045,64.934,0.05,66.508,0.045
17.288,0.274,42.154,0.042,11.153,0.274,37.427,0.042,17.199,0.274,55.124,0.042,38,0.031,31.802,0.024,39.063,0.031,37.459,0.024,14.822,0.01,26.202,0.01,3.729,0.017,42.52,0.007,4.379,0.017,16.575,0.007,12.801,0.014,34.854,0.01,35.861,0.017,77.596,0.003,12.747,0.031,33.486,0.01,30.469,0.021,33.774,0.01,39.9,0.021,54.279,0.01,40.923,0.021,52.204,0.01,12.112,0.025,35.828,0.014,10.179,0.023,30.941,0.01,13.491,0.023,34.04,0.01,44.054,0.267,58.79,0.194,27.054,0.267,31.965,0.194,30.564,0.05,60.752,0.031,32.997,0.048,39.333,0.037,64.758,0.048,66.061,0.037
