kl-3_1-488,kl-3_1-BG,kl-3_1-568,kl-3_1-BG,kl-3_2-488,kl-3_2-BG,kl-3_2-568,kl-3_2-BG,kl-3_3-488,kl-3_3-BG,kl-3_3-568,kl-3_3-BG,kl-3_4-488,kl-3_4-BG,kl-3_4-568,kl-3_4-BG,kl-3_5-488,kl-3_5-BG,kl-3_5-568,kl-3_5-BG,kl-3_6-488,kl-3_6-BG,kl-3_6-568,kl-3_6-BG,kl-3_7-488,kl-3_7-BG,kl-3_7-568,kl-3_7-BG,kl-3_8-488,kl-3_8-BG,kl-3_8-568,kl-3_8-BG,kl-3_9-488,kl-3_9-BG,kl-3_9-568,kl-3_9-BG,kl-3_10-488,kl-3_10-BG,kl-3_10-568,kl-3_10-BG,kl-3_11-488,kl-3_11-BG,kl-3_11-568,kl-3_11-BG,kl-3_12-488,kl-3_12-BG,kl-3_12-568,kl-3_12-BG,kl-3_13-488,kl-3_13-BG,kl-3_13-568,kl-3_13-BG,kl-3_14-488,kl-3_14-BG,kl-3_14-568,kl-3_14-BG,kl-3_15-488,kl-3_15-BG,kl-3_15-568,kl-3_15-BG,kl-3_16-488,kl-3_16-BG,kl-3_16-568,kl-3_16-BG
25.119,0.611,8.014,0.611,24.396,0.256,8.544,0.167,53.065,0.211,14.933,0.4,38.693,2.122,21.142,2.967,34.68,2.122,11.323,2.967,40.125,1.756,20.866,1.644,61.888,0.411,22.277,0.433,33.948,2.289,14.536,2.533,42.484,0.256,13.92,0.167,53.406,0.222,15.35,0.317,53.567,0.222,21.983,0.317,75.328,0.286,28.168,0.397,65.747,0.222,21.977,0.365,84.456,0.46,22.484,0.524,57.89,0.46,27.641,0.524,68.617,0.111,24.714,0.19
25.103,0.622,8.045,0.8,24.499,0.167,8.517,0.156,52.642,0.222,14.842,0.389,38.872,2.533,21.238,2.989,33.889,2.533,10.986,2.989,40.309,1.989,20.894,1.422,61.833,0.256,22.178,0.556,33.531,2.189,14.599,2.678,42.417,0.167,13.793,0.122,53.451,0.317,15.258,0.317,52.856,0.317,21.416,0.317,75.706,0.429,28.337,0.238,66.14,0.524,21.812,0.413,83.814,0.444,22.11,0.46,58.272,0.444,27.357,0.46,68.164,0.143,24.586,0.095
24.838,0.6,7.927,0.6,24.436,0.178,8.503,0.1,52.155,0.311,14.794,0.3,38.611,2.422,20.981,3,33.469,2.422,10.818,3,40.08,2.089,21.292,1.467,61.647,0.322,22.034,0.467,33.537,2.344,14.437,2.756,41.675,0.189,13.416,0.089,53.733,0.333,15.235,0.333,52.248,0.333,20.819,0.333,76.551,0.444,28.308,0.397,65.842,0.381,21.788,0.476,83.604,0.254,22.132,0.524,58.37,0.254,26.979,0.524,68.553,0.095,24.274,0.175
24.734,0.622,8.009,0.556,24.149,0.211,8.397,0.189,51.938,0.389,14.611,0.278,38.817,2.422,20.886,3.111,33.525,2.422,10.777,3.111,40.149,2.033,21.221,1.656,61.78,0.333,21.792,0.356,33.371,2.133,14.208,2.667,41.944,0.256,13.433,0.222,53.672,0.333,15.2,0.27,52.145,0.333,20.682,0.27,75.957,0.238,28.523,0.302,65.244,0.46,21.631,0.302,82.834,0.302,21.955,0.619,58.484,0.302,26.61,0.619,67.658,0.048,24.16,0.095
24.359,0.656,7.858,0.478,24.126,0.178,8.489,0.144,51.644,0.367,14.776,0.289,38.548,2.189,20.729,2.956,34.182,2.189,11.023,2.956,39.984,1.922,21.201,1.478,61.555,0.267,21.811,0.489,33.4,2,14.235,2.433,41.8,0.056,13.437,0.111,53.279,0.206,15.122,0.302,52.199,0.206,20.608,0.302,75.179,0.413,28.423,0.349,65.285,0.413,21.66,0.429,81.341,0.492,21.55,0.619,58.471,0.492,26.148,0.619,67.387,0.111,24.147,0.095
24.146,0.644,7.762,0.589,24.005,0.167,8.386,0.122,51.372,0.278,14.526,0.344,37.937,2.2,20.532,2.544,34.831,2.2,11.413,2.544,40.026,1.889,21.189,1.511,61.367,0.511,21.777,0.533,33.345,2.322,14.143,2.378,41.817,0.156,13.147,0.2,53.816,0.333,14.983,0.238,52.526,0.333,20.522,0.238,75.968,0.333,28.566,0.508,65.014,0.381,21.506,0.397,80.933,0.492,21.248,0.46,58.289,0.492,25.919,0.46,67.595,0.19,23.957,0.079
24.409,0.544,7.801,0.589,23.93,0.244,8.313,0.178,51.323,0.333,14.646,0.311,37.377,2.522,19.854,3.156,35.926,2.522,11.745,3.156,39.731,2.122,21.384,1.522,61.353,0.267,21.692,0.478,33.441,2.278,14.025,2.767,41.192,0.133,13.159,0.122,53.836,0.222,14.985,0.222,52.555,0.222,20.429,0.222,75.633,0.365,28.399,0.429,64.919,0.349,21.441,0.492,80.394,0.413,21.14,0.302,58.469,0.413,25.481,0.302,67.042,0.127,23.814,0.127
24.252,0.578,7.805,0.644,23.882,0.189,8.369,0.133,51.118,0.3,14.508,0.267,35.526,2.256,19.004,2.867,36.317,2.256,11.723,2.867,40.194,1.944,21.389,1.544,61.3,0.422,21.534,0.478,33.253,2.378,13.849,2.778,41.404,0.156,13.073,0.156,53.587,0.206,15.016,0.238,52.035,0.206,20.115,0.238,74.96,0.333,28.447,0.429,64.549,0.254,21.328,0.317,79.577,0.444,20.831,0.413,58.544,0.444,25.253,0.413,66.949,0.159,23.968,0.286
24.033,0.778,7.849,0.767,23.333,0.189,8.374,0.122,51.109,0.478,14.479,0.311,34.801,2.322,18.658,2.844,36.29,2.322,11.805,2.844,40.192,2,21.433,1.456,61.39,0.333,21.538,0.456,32.844,2.167,13.619,2.7,41.36,0.156,12.81,0.111,53.555,0.222,14.996,0.397,52.04,0.222,19.891,0.397,75.174,0.317,28.506,0.302,64.11,0.302,21.198,0.317,79.216,0.333,20.841,0.556,58.623,0.333,25.045,0.556,66.638,0.19,23.584,0.159
24.019,0.644,7.699,0.711,23.349,0.189,8.345,0.2,50.513,0.456,14.515,0.311,35.841,2.333,18.93,2.967,36.237,2.333,11.81,2.967,39.926,1.778,21.702,1.644,61.225,0.422,21.54,0.433,32.839,2.378,13.702,2.711,41.188,0.189,12.914,0.222,53.74,0.222,15.006,0.302,51.701,0.222,19.794,0.302,74.979,0.524,28.677,0.54,64.104,0.254,21.125,0.333,78.661,0.397,20.927,0.429,58.27,0.397,24.818,0.429,66.687,0.111,23.712,0.079
